,CD141+,CD1C+,IL7R+CCR7-,IL7R+CCR7+
RP11-662I13.2,1.41354525604722,1.07857978478816,1.24640572442902,8.44703281156821
RP11-713N11.4,120.547139435707,149.715678861533,107.140018597858,18.4762082767317
RP11-713N11.6,43.8661368573666,56.3868788294076,21.1989220262138,1.37386950107722
RP11-295I5.4,5.30066917329819,12.1536592445756,12.8935469610562,9.40559682709055
RP11-707G18.1,5.39717279581664,7.84421661664113,13.1439149121606,8.36170924781499
RP11-582E3.6,4.86605928443895,3.49596628793238,3.06477839601677,3.67152659073476
ARNTL2-AS1,2.30386779045307,3.06939122835236,9.02869022272965,21.2459918698924
RP11-967K21.1,4.60210540546516,3.12503468437155,3.65880390074326,1.56541215756905
RP11-627K11.6,3.69072491325745,3.54975625373317,5.19598673306277,8.28862619531752
RP11-627K11.3,2.60521758582879,7.45448813283966,1.64083791570403,15.6763147607092
FLJ13224,4.62193820048622,0.963170323007653,3.42473435510221,0.676952871732899
RP11-467L13.7,3.54848602207715,6.50040613590716,3.84905369306434,2.12704125502026
RP11-843B15.2,18.9630395528693,14.6072033753128,7.64380513065072,3.35759753580216
RP11-278C7.1,13.2088419985976,10.7149657426119,9.5446153783142,9.00830055283438
RP11-278C7.5,22.3831313923361,31.6107979607407,14.5408317618751,15.4226718547739
PLEKHA8P1,4.83481220508011,5.5119146243312,2.23493440242446,1.03079691589443
RP11-352M15.2,9.65603950735217,6.44443107589355,10.0050639980272,11.815042377044
RP11-96H19.1,5.3139653720823,4.23101616520401,5.41321785661317,4.98570065164157
PCED1B-AS1,3.59439140399276,1.26973816837933,2.68307778195329,0.939166290031337
SNORA64,4.27625862446026,3.60876024508209,3.47523311905143,3.6636520028726
RP11-89H19.1,4.07786389017257,5.75242551887017,3.02158963497945,2.38905978509
RP11-386G11.5,9.83999296381178,8.16983222150528,6.02373740635582,3.2820215859067
RP11-386G11.10,337.408402218082,298.713728828241,343.684158847338,366.651142489384
RP11-161H23.5,88.2268429047917,93.2019825796354,121.429244752903,193.1748069022
RP4-605O3.4,15.5694986519249,10.6448196486165,13.2295311269745,5.04654123806612
RP11-1100L3.8,137.882920250198,83.4856116697665,87.2674713987115,51.1519893439324
RP11-1100L3.7,38.8084808225933,25.3124504671149,31.454888204756,24.8174201168313
RP11-983P16.4,48.6708121039472,58.0614347328864,38.528170119917,41.7777374816187
RP11-1136G11.8,19.6826625923115,19.5893409561525,12.9356702211012,15.6257423781562
RP11-680A11.5,20.3585473167703,16.1236842016554,16.0279685119776,6.8643927982725
RP11-793H13.8,667.939813524188,674.247617063319,606.214931360614,584.977484106028
PCBP2-OT1,48.3135393480436,50.762717735589,35.5922773647122,59.3519386439943
RP11-753H16.5,2.45014511048184,2.46532522237293,3.79856982683131,0.938559201285357
RP11-1049A21.2,15.8728638179915,13.2196121976115,9.88483985266415,9.76947411251274
PHC1P1,17.2126496098665,11.5067303012225,14.9910725745113,13.8953367800881
RP11-644F5.11,8.2724234083628,7.540341558519,6.82715928335898,8.40475537006887
TMEM198B,5.87825759855349,8.88019611386617,5.2231460554409,2.51023987373879
RP11-973D8.4,77.4072393311519,90.33344321447,224.608929625603,248.819519511024
RP11-603J24.7,0.851871644372825,0.9285786226653,4.72148393624769,5.65621770311043
RP11-603J24.17,280.502096680647,269.575360404472,228.488570128049,143.26652066072
RP11-603J24.5,17.2570498739811,11.7026740173305,5.91031338879172,5.6763248139561
RP11-977G19.5,16.0870569784986,18.927335578218,11.5795112463084,4.66251990315951
RP11-977G19.11,10.0047592011342,14.2162807744994,9.67695555494201,8.0070831859657
SNORD59A,34.3020315467458,29.9126126981249,51.8504781362474,27.3308439414296
SNORA48,3.0718237206041,1.93178468917282,1.33942107699835,2.84369429643175
RP11-123K3.9,15.2670953531878,22.4024560150008,22.1899335818463,15.3516687616803
MIR616,251.430354945734,400.119742018732,236.534397683397,216.603982267773
RP11-571M6.7,159.5854171531,146.514031080408,124.80462012051,101.415416985813
AGAP2-AS1,4.59647222726393,3.96342118250154,5.78997005854763,4.21350510763706
LINC01465,0.424355029444277,1.1564154393605,3.40769894967605,0
RP11-631N16.2,1.47972642701365,1.43231623554521,0.566639298624583,1.17900224065755
RPL14P1,31.4302335567856,21.5649068288807,34.9689271151436,38.6657288318674
PABPC1P4,1.53673101329421,0.478601803169998,0,2.00426188903817
RP11-196H14.2,5.82776690958125,14.2096055104729,6.37505878724353,7.38258638507319
RP11-196H14.3,1.55918325212481,7.52671261072947,0.280576180390949,3.32761898637535
RP11-114F3.4,4.94514413602971,7.61505300381325,3.85615684079643,4.299760917559
RP11-629N8.5,26.0123739229489,35.5212275790233,26.6453845977938,37.9595054742078
LLPH-AS1,16.1874755613856,9.00259210417081,15.3970119666224,14.8060350405016
RBMS1P1,1.06822935612703,3.88139438124458,1.12133386972853,2.06872737445942
RP11-335I12.2,81.262365366,182.306793451765,72.372560304896,39.846593700459
RP11-81H14.2,0.26728855750711,0.24973424330531,1.15437057075133,1.33104759455014
ATP5HP4,4.11624378560949,4.25073969920722,6.54953408036809,0.719232735300778
RP11-637A17.2,1.8085429638003,2.79937895637109,1.86807522283492,1.74120051472201
RP11-611O2.5,114.96642675094,232.060906154879,103.866085183757,64.627871422011
RP11-611O2.3,45.9444067186481,99.3964095065823,53.7402449931494,26.0701387254525
RP11-1143G9.5,0.348899925320074,0.338059288357034,0.537158843001245,1.28700527130484
RP11-1143G9.4,801.774196470764,1210.29976545063,558.323178595652,296.008096944949
LINC01481,2.18535830996257,0.899919329639198,1.0399458805052,0.483674680416994
RP11-56G10.2,73.2691393838489,58.927847015306,50.8134685735225,46.9179487661208
RP11-585P4.5,5.2077983117529,6.43363380399953,4.54828755581118,1.95944815706943
RP11-290L1.3,48.4689514298481,50.2705375968047,117.779864659226,71.4492625006617
RP11-84G21.1,8.65505805261117,7.83888041486111,9.09868470696364,7.76444430154249
RP11-823E8.3,52.5245108664392,57.6019906686864,28.8887799097612,41.8530037095995
RP11-734K2.4,0.985420878907881,1.10205341522441,1.04784264359411,0.382380293920013
RP11-981P6.1,3.30791069854649,6.88374707766608,3.71226392267113,6.78878356230717
LINC00936,5.38330340904325,11.149283986808,7.78042692297765,6.44329160926461
LINC01619,7.09210042688071,11.8270626813014,9.57425770088588,16.9785926462066
RP11-796E2.4,13.51922207884,15.0026198553482,23.8789591627599,38.3996736757798
RP11-693J15.4,2.40532538285107,0.683977424499806,2.70054573626289,5.20785898274192
RP11-693J15.5,0.997489906638852,0.337804773553076,1.69565604671052,2.79712900304015
RPL41P5,73.8812987160678,37.3907658726561,121.316823844425,78.8389729079699
RP11-887P2.3,19.3705589911035,17.4490240739062,14.7418026073645,28.8045659186635
