"","CD141+","CD1C+","IL7R-CCR7+","IL7R+CCR7+","IL7R+CCR7-"
"ATP2A3",26.5424462205379,19.0442293702668,35.8334984532555,25.0200094391154,39.9895309035133
"ZZEF1",17.3054346657342,17.9538791626382,19.1247235034103,24.8978378961458,26.8134366732941
"CYB5D2",6.13017616597888,3.88137172316754,2.43780703683898,3.42489305102413,6.22987714842799
"ANKFY1",7.70694448216215,6.16592732772678,7.02665825665155,6.72745155265253,8.70458407258547
"UBE2G1",8.94063855831644,5.74685867985258,6.01240269947559,8.98215531793912,8.90133862911603
"SPNS3",32.182379664662,15.8402192853044,9.5645976144702,9.99261746091691,16.3898561512858
"SPNS2",0.220591210751904,0.824047978589304,0.506315554127779,0.62614291131483,0.459255383181636
"MYBBP1A",25.803499515765,22.9375740898253,28.7088093059785,22.7833208245895,31.4717208155495
"GGT6",0.717218022303922,0,0,0,0
"SMTNL2",0.18357296910953,0,0,0.0672345176548326,0
"ALOX15",1.13223104772461,2.28896029728421,1.90236880808658,1.07330308148167,0.831961903757214
"PELP1",15.8564396763151,13.5465243441524,16.9842168225689,17.8517509252634,21.3573235048384
"ARRB2",147.166149730344,131.84139066393,150.655873643361,183.865106653544,198.86173018289
"MED11",15.9635153367827,8.71571612181882,17.3807582919689,14.2794826290754,19.8131229817369
"CXCL16",109.136889643383,77.5379156394994,73.5870843491671,102.411357401794,119.807516632085
"ZMYND15",19.4933040222454,17.281892792514,22.6862478803193,34.0132768537483,30.5806660895835
"TM4SF5",0,0,0,0.890929498966934,0.810299948609315
"VMO1",36.1384993235798,39.2344327918055,47.8100039215724,70.9361839381703,89.1097852575875
"GLTPD2",11.9672349070524,17.3853582696953,12.6601435439427,13.8796887692432,21.9620593109389
"PSMB6",29.5916330004841,39.5383114334756,32.5827579478159,31.6540852041799,27.7723592192899
"PLD2",11.8736558743186,8.31668062188371,14.3363193906812,31.2908729904765,17.304081390269
"MINK1",40.7485258634552,31.5494100384533,58.5506767008542,162.659495781993,100.570901079716
"CHRNE",8.84187790063529,8.2094024747732,9.6327551319838,7.57718502922987,10.1513003027974
"C17orf107",8.71459882845814,6.7594179670975,8.21130191723184,5.57949827187543,9.69482993091104
"GP1BA",4.71373693571133,4.1990203294442,2.40428470027552,4.7144811519904,4.83134459562659
"SLC25A11",6.62554668951707,8.50405781486332,12.2179058850889,10.2354413791395,13.3694937568035
"RNF167",17.1025917230342,15.123487678485,25.5378750661989,22.4229811640143,26.0081478403123
"PFN1",391.812343363778,351.979196272773,358.142503985371,484.083113162694,501.97775965838
"ENO3",81.7158476857799,77.3116072824097,82.0127124333482,102.922699882521,114.590798766928
"SPAG7",93.0554789049854,78.6186306841142,100.972901933822,129.376810264465,102.1026593316
"CAMTA2",18.7824921777937,19.3693583149418,19.5844368034266,22.7275981524763,24.0445264963896
"INCA1",3.06565676359026,5.34434645070994,3.72301503008389,3.63577256448992,5.22755646176222
"KIF1C",15.4841018035266,21.7552604105982,23.3699641504498,24.7168348766546,26.119518308488
"SLC52A1",0,0.301393348752725,0,0.14774845071836,0
"ZFP3",3.13547991033796,1.30144496349621,2.66546708031668,2.23297120678459,2.71993691931383
"ZNF232",3.89484810623227,5.09240415458792,2.73157905908044,4.6658685757637,5.54101317756964
"USP6",0.301747049933811,0.105206870806852,0.2052117956245,0.176826184852639,0
"ZNF594",1.79185734055539,1.21124508015867,1.17508274916408,1.76569685948818,1.17244943636752
"SCIMP",65.2445292313871,37.1129237554912,51.0582845575868,31.3353116288747,39.9315352526411
"RABEP1",61.0607093920724,51.7148714784977,74.4707667716291,78.6991816551854,81.5502195867804
"NUP88",34.9019234478598,27.2599865551898,42.5501657788859,44.1993927801054,40.3348457418535
"RPAIN",16.3855552151541,14.9093570050291,17.7735234299988,22.2058961543053,21.9546572347831
"C1QBP",68.6448908407455,63.4007692450336,47.9385300795308,51.2787732145446,62.5020614321521
"DHX33",2.93429136250349,3.37496904868642,3.34779699622768,2.34736860770048,3.53678264353827
"DERL2",2.52060692082198,3.39508799496963,3.2594162903528,4.64192963692881,5.58771983039593
"MIS12",5.7450140475203,7.29683130562822,5.42104951900286,9.94206204523456,10.4058221465058
"NLRP1",56.4657438907215,83.4219515216966,73.1307354277549,35.857630752566,60.5993394499348
"WSCD1",0.0998514057917947,0,0.152790372386354,0,0.0831534411037086
"AIPL1",0,0,0,0,0
"PITPNM3",0.170958708153658,0.127727825053469,0.479594802593443,0.383513699300801,0.106777201258914
"KIAA0753",6.76646641813792,2.33947077217268,3.78174161738173,3.53282753665605,4.91557098527689
"TXNDC17",3.35515500624078,1.70099269449344,2.8114666777921,3.09404934773369,4.34080080820809
"MED31",2.91071833331302,3.06065447264061,1.97951806278583,3.51406657538323,4.12971699914153
"C17orf100",1.55784740762109,1.0269789531065,3.08489567141098,1.14113880207212,1.44995871968207
"SLC13A5",0.0502688729158026,0,0.282041089840013,0.101261743053315,0
"XAF1",69.2647314670288,65.090210672946,64.7496418253421,56.3480651465444,65.5020019681938
"FBXO39",0,0,0,0.227648058406356,0
"TEKT1",0,0,0,0,0
"ALOX12",3.37988993010723,3.23744384554724,2.56381388241419,4.09459754594023,5.19632719337533
"RNASEK",54.2386808339382,33.8955484603987,45.504941403813,48.2241363032774,49.6008649369514
"RNASEK-C17orf49",70.4474233150556,69.4235662430545,62.1243666095471,85.3375928283206,83.1999506555124
"C17orf49",28.7272836419863,37.189507904658,27.8091656009681,47.5205793275465,43.464205576755
"BCL6B",0,0.0774676707061658,0,0.265832337126013,0.0863479936089506
"SLC16A13",0,0.162322052706307,0.664898017255805,1.27317112492524,0
"SLC16A11",0.222158370259941,0,0.226627823291339,0.447516375473249,1.75756877633191
"CLEC10A",317.158922074051,635.06642564805,512.193016193219,206.089999341104,389.605277234637
"ASGR2",44.0678339580444,87.752670674197,60.3726509577218,16.9403982675859,32.9072897201892
"ASGR1",0.54440062744195,1.4461734215499,1.7277650540893,0.708940271536549,1.10821705885041
"DLG4",19.0965726689054,20.1042896420709,19.6820111736945,18.0491214758691,20.9303043286709
"ACADVL",113.146605079641,97.6607376993388,126.689495092987,171.906430903813,173.082733935422
"DVL2",3.05108568471391,3.41932162540101,5.05776115126185,4.74927038634351,5.78751058621666
"PHF23",12.9526791517042,6.3906652928129,12.4653446102485,16.3204966687509,15.3319348522707
"GABARAP",54.126886900263,35.7304076061505,43.478637909494,52.03405719827,46.9916755722186
"CTDNEP1",31.4976120159624,22.7461000439876,25.2396213678811,38.4967050719251,37.9937855160622
"ELP5",13.350490081862,9.72973513650506,10.9453951844705,24.2384322533975,18.0751337886135
"CLDN7",3.00221362602685,1.90318047189923,1.11367749760262,2.39907436190518,1.28796071285774
"SLC2A4",0,0,0,0.0820905875469286,0
"YBX2",0,0.0733577574703471,0,0.179806473156601,0.081766950206137
"EIF5A",85.9333435805463,59.2690287989506,75.9957963210125,95.3939577862255,105.432832673828
"GPS2",127.190988993693,108.900861485943,138.210177569642,164.026321790641,181.282119742644
"NEURL4",10.5823717427679,12.7380455052756,12.3320980902818,13.3635959317005,14.9020333012395
"ACAP1",37.6683272572945,35.1045882434322,49.1779933444797,58.8101349710744,67.1904735583598
"KCTD11",4.00604754905582,5.59806585795228,3.17849971665251,4.40170482565522,4.69528517342073
"TMEM95",0,0,0,0,0.92548964718613
"TNK1",0.939741416995937,0,0.958647434896626,1.03255497579753,2.93471328537778
"TMEM256-PLSCR3",2.94979241254998,4.5126838079048,3.00913727821873,2.26364540852764,2.98289785914637
"TMEM256",3.84802178529454,8.14572009613447,6.54239586050385,3.75828590907919,3.20452426635311
"NLGN2",1.38887008520886,1.22077882521824,0.833418715923643,1.37642989116073,2.44929584466124
"TMEM102",2.12975685157604,0.795599163922177,0.434520795995887,1.95008523493937,3.72456331474437
"FGF11",0.651824235328718,0.973990653004314,1.20519984122112,3.81974215664903,2.98551485108453
"CHRNB1",0.523706668630792,0.43040279094233,0.854788426588352,1.38103333561278,2.00618961635358
"ZBTB4",8.36386735360121,5.19817428269963,10.9105611280259,10.2742815886742,14.8857894085119
"SLC35G6",0,0,1.77169005167622,1.46790741255837,1.55757126244171
"POLR2A",57.5261218100026,50.5412296305907,75.070527496088,115.940393232457,110.726445401227
"TNFSF12",35.4728628813089,32.2720256496292,27.9399299961789,31.242939285646,41.5982722952378
"TNFSF12-TNFSF13",47.4398647594177,45.5170342816781,42.5360207518628,55.3259369259356,60.4034884047846
"TNFSF13",17.3321596361806,19.5728230693081,19.3066791727039,29.5874711622652,25.3834647345988
"SENP3",14.957593587177,15.3312913259756,16.5195495477722,16.0047663352587,17.3461183927895
"SENP3-EIF4A1",471.850868374929,416.646713459396,374.020628209492,385.512865462958,443.322953895594
"EIF4A1",352.948385450119,296.930164553983,279.216434530931,283.295536433698,335.869176271934
"CD68",678.791453100351,399.586172756052,600.529773784158,412.707522532871,497.486411207765
"MPDU1",16.7087891929404,11.2922041332688,11.5990476335428,13.0011407350164,10.046232573859
"SOX15",2.64816813971762,1.86859964567394,2.10112375818517,3.34078326854674,1.83776659337414
"FXR2",8.58482317327274,7.00059295724466,7.42254523665775,9.98869588252995,11.8572083913793
"SHBG",0,0,0,0,0
"SAT2",40.8441476492269,38.5570694994752,37.1614456047268,35.5790499268519,50.1014918924669
"ATP1B2",0.138408190995281,0,0,0.0760390378239178,0.403418564158057
"TP53",5.84617324919839,5.0341119824887,3.99270581290124,5.2078100109631,7.96293234025618
"WRAP53",2.09465165951694,1.46507857832856,1.13659177151961,1.48538456194975,2.52376496673206
"EFNB3",0,0,0,0,0.117194219755413
"DNAH2",0.381560320855309,0.108131488711586,0.308704947732729,0.0819214612131165,0.262967750718083
"KDM6B",246.079084533815,253.257782972374,271.64621638559,249.847515756944,269.751286694587
"TMEM88",13.7323070777878,22.2617738627298,18.7662082862692,17.8405832103989,9.70970852704991
"NAA38",69.7756792982302,70.0023668477726,67.7276025206142,67.2225794620426,74.9175057478246
"CYB5D1",119.793123928673,129.207782972126,127.839730168689,110.448574757257,107.777222511308
"CHD3",184.288222674353,152.753734944812,211.720424835365,481.725087058085,361.889024968001
"KCNAB3",2.22752571141095,1.51631125370312,1.41390031063902,2.0305411532787,1.93746609982983
"TRAPPC1",23.2327190623675,7.81100371302109,13.0350672776614,24.5345702297921,23.2170656496497
"CNTROB",27.3844402451481,23.9103456142361,29.1596283644025,33.1126224653583,37.796320220791
"GUCY2D",0.112233968737757,0,0.0572459637794087,0.369956269174982,0.373861164407862
"ALOX15B",2.24616198993002,0.671267088503427,3.43702649111509,2.57769324786972,2.74345940328359
"ALOX12B",0.170717331965565,0,0.348303755525318,0.750312915395044,0.284337180762004
"ALOXE3",0,0,0.307544805410653,0.154585746044156,0
"HES7",0,0.181352314774124,0.619040935944355,0.266706518106161,0.202141207736585
"PER1",146.770678689271,129.637793380864,115.471698524159,111.732687417828,140.507885818813
"VAMP2",22.4076423631081,11.6619305231891,20.0276791028989,17.9129172763529,21.6068415305119
"TMEM107",1.79191129347352,1.17813068731543,0.731184614823936,1.68011896156749,1.31318290754706
"BORCS6",4.05001179616016,2.82853268580907,5.20927154671497,4.12754662169939,5.13242414051182
"AURKB",1.01165826349964,0.604669565369144,0.825608901985938,1.37094211701811,0.75823248203201
"CTC1",9.99844097260064,10.4459973696068,11.968627866451,18.9847311889582,21.9104447559719
"PFAS",4.20422098934205,3.55989745508705,5.28952351460115,5.06856414386783,6.76890341864088
"SLC25A35",6.80661436271018,3.91184900690604,4.9257676608959,4.60238130089893,5.37767194531248
"RANGRF",9.77581353571233,5.80005412044876,7.77267328119656,8.95110144681807,8.6199061115218
"ARHGEF15",0.128473337844883,0,0,0.0784233370832246,0
"ODF4",0,0,0,0,0
"KRBA2",3.73256276847259,1.45497261559655,4.96650738014626,4.33896058637898,5.06799985753321
"RPL26",2230.25785459744,2018.13888554105,1848.03773100325,1728.17501741383,1809.63776168582
"RNF222",0.147695515863368,0.0551736358303034,0,0.108188442089535,0
"NDEL1",68.9685144912197,70.7129036956359,54.8021260296303,65.4256513482974,60.7339928923266
"MYH10",4.22680275561484,2.48125226765866,2.36124512457337,2.69072375504225,3.58281887165031
"CCDC42",0,0.0964047023329718,0.263259753749358,0.472593223128732,0.214911653985168
"SPDYE4",0,0,0.652700922865883,0.781134800599419,0
"MFSD6L",1.03616369675626,2.63209511333047,1.05700956887025,0.189750066964621,0.69031037669459
"PIK3R6",112.847413662284,42.3932916114299,38.480724002695,31.592300038115,55.8347592534716
"PIK3R5",61.8581720369508,48.4725309317772,65.0129887611499,93.455442094033,91.3061009238306
"NTN1",0.142072766316948,0,0.289862063191366,0.988662357368414,0.532413909520205
"STX8",18.7177392054205,17.2117215685705,18.237512758218,20.0390531688254,20.2339123182106
"CFAP52",0,0,0,0,0
"USP43",0.357873112628682,0,0.182536459091406,0.606211776684604,1.2666132977275
"GLP2R",0,0.223903584929321,0.0382144239373448,0,0
"RCVRN",0.310458907018514,0.173964117082196,0.237528613833082,0.11370712674251,0.646353605018728
"GAS7",18.0921157605265,21.5502212543322,29.4702221536396,16.5247133564825,17.6088608436103
"MYH13",0.285667181414736,0,0,0.0784702749759505,0
"MYH8",0,0,0,0,0
"MYH4",0,0,0,0,0
"MYH1",0,0,0,0,0
"MYH2",0.0342311062736328,0.102299901554602,0,0,0
"MYH3",17.1967828759855,12.4680530376307,16.2279117789755,17.1808636036868,22.3147683334106
"SCO1",7.7343795973357,5.0003601880457,7.95780451333543,6.89114372227339,9.8552434218835
"ADPRM",3.63859755438705,6.16888929502645,5.13941541486247,7.43211188212293,6.642959023136
"TMEM220",1.09866433479321,1.40025906441617,0.922985094459337,0.307710997989834,1.29167540268623
"SHISA6",0,0,0,0,0
"DNAH9",0.0133517442196861,0,0.095342512113173,0,0
"ZNF18",10.838850207981,7.47939815599973,8.29268224310478,9.92445768570338,13.7901644640483
"MAP2K4",3.96766917833864,3.40900457295916,4.73556565615171,8.86438989766681,7.5995754718189
"MYOCD",0,0,0,0,0
"ARHGAP44",0.122138032997667,0.292008295656126,0.249190489892049,0.0178934660712678,0.122055740561989
