,CD141+,CD1C+,IL7R-CCR7+,IL7R+CCR7-,IL7R+CCR7+
LMNTD2,0.825349722589891,1.88659571508978,13.4972216008172,0.995492189590171,1.06829905932329
RASSF7,12.5442800314892,21.5054155001393,19.0442051857895,11.427587207669,18.4474498879615
PHRF1,205.6807561412,187.535801546791,180.10934754241,154.291194691886,191.42830289118
IRF7,54.0305996790089,60.4115906239505,915.370768842286,47.7904435399829,32.865236814372
CDHR5,0,0.649634043151117,44.1453887273674,0.502758255315872,0
SCT,0,0,482.602061656697,9.31029990428184,0
DRD4,5.36571299925123,2.89590758531569,38.0896058271634,3.95500891571775,0
DEAF1,11.0269432981205,11.6985345545536,10.3775807591189,10.22358404006,4.30247127890087
EPS8L2,0,0.088390396947981,1.76661835010068,0.128261640798242,0
TMEM80,0,0,0,0,0
TALDO1,90.035305091235,100.055208509268,98.0006727984029,76.3807532294753,174.654275694664
CEND1,1.06800863821765,0.610317198089576,4.38370300454505,1.77123959021077,1.05598997373982
SLC25A22,2.51077982984473,2.43644220380014,4.39617150421648,2.5141158461438,3.22259871176973
PIDD1,4.20106447808701,3.72967865860985,6.10484560003857,3.27627012915811,4.45048764703604
RPLP2,1889.85405499463,2185.79532034408,1357.32538122316,1708.39138892507,1511.16940153354
PNPLA2,14.8938987623417,12.8322248042768,25.1074111046612,13.6171053021809,16.31220109318
CRACR2B,0,0,0,0,0
CD151,2.68331068220554,6.58078625850179,2.39430507248044,5.80990274082044,8.31309201978238
POLR2L,35.2769004738425,32.1664419240056,32.7502636215975,31.75681104454,25.3117652777318
TSPAN4,1.73370842414316,3.35987924382287,4.35844686075254,4.41708116377477,2.98121463224956
CHID1,5.81260667234506,4.87733601768744,7.77327573286175,5.97919159962485,6.05274253129962
AP2A2,31.9776502151544,27.2017640629539,32.1857900032767,26.5924388766965,36.1346226747659
MUC6,0.731373025091737,0.537358657857582,1.2679097245869,0.519834020691308,2.80992567003782
MUC5AC,0,0,0.036026185906419,0,0.019960195629264
MUC5B,0.023673866066525,0,0.101395562699516,0,0.074903859197633
TOLLIP,14.6075350792892,10.4291508771991,13.9732225631726,9.64153236906014,14.2030386720395
BRSK2,0,0.072896788327518,0.045529834252876,0.493636066198342,0.55496457000338
MOB2,28.6507855168075,27.0092039580627,56.2081222321515,38.0342796127681,43.167037687043
DUSP8,2.00303678145792,1.47168287535432,2.31497902054124,1.89825005476011,4.30050544201591
KRTAP5-1,0,0,0,0,0
KRTAP5-2,0,0,0,0,0
KRTAP5-4,0,0.426085122629005,0,0.412189399415405,0
KRTAP5-5,0,0,0,0,0
KRTAP5-6,0,0,0,0,0
IFITM10,38.7459536424122,6.10074806225786,29.9576411593866,19.6387053463527,7.27979710157596
CTSD,0,0,0,0,0
SYT8,0.140397500352432,0,0,0.620912858047951,1.1105404762098
TNNI2,517.194287582941,182.540261512251,458.076882718729,256.445044366422,90.1241572412479
LSP1,2126.29844199255,1919.41707774031,1215.29108035061,1230.94621816632,3450.90715087301
TNNT3,12.0920150206149,13.6240178507314,37.9550674767261,26.5490437473093,14.6523853839714
MRPL23,6.65979672260005,8.71097018016136,7.39511637288469,4.58160640667853,4.68256125498345
IGF2,0,0,0,0,0
INS-IGF2,0,0,0,0,0
ASCL2,5.34905379312504,13.0420698874693,0.339408688820302,3.67988095568807,6.01754632119903
C11orf21,19.3981933328094,32.776133819266,26.1224252442992,45.4450837909408,12.358075376892
TSPAN32,6.2682505403855,12.0063777878063,9.19759069050449,20.8553382850801,1.46908723791993
CD81,6.57988436598965,5.07017669352877,7.35361010706447,10.1717517811242,22.2317166427095
TSSC4,17.3034771100023,16.7483181231665,17.2571256463894,20.9620554498866,21.218130846552
TRPM5,0.388945725357973,0,0.793267152568399,0.061433074294497,0
KCNQ1,33.6507104748013,28.9556011243967,23.4274902973784,13.4846448950026,9.47183915403035
CDKN1C,0.681031030325175,0,0.243072270570456,1.50594178100416,0.269346862598139
SLC22A18AS,1.6059835281616,4.23574520054592,0,0.819521347995948,0.390870362894942
SLC22A18,20.7885490664807,21.5822213694633,20.8700589511292,10.8970440188942,10.6130567947671
PHLDA2,104.654501959043,169.667541993302,19.7461222522052,63.7167121347635,74.3938854882056
NAP1L4,165.996500585922,145.15572975717,185.372102195113,193.454475805072,193.287348803363
OSBPL5,14.2417900491444,19.1078289854469,47.6111379927183,11.2798891994053,9.14278552029483
MRGPRE,0,0,0,0,0
ZNF195,14.4988392867021,9.03462415607772,20.4793816527075,12.8328516284452,10.43149402015
ART1,0.600254343701739,0,0.428483225422767,0,1.89919832768586
CHRNA10,1.87321326404369,3.16482094229469,1.16275414667998,2.52132428040485,7.98833170071861
NUP98,62.1424141771939,60.9639410186599,36.2364435293244,46.2222450991795,117.119874640436
PGAP2,9.19932248804888,5.72279311887564,9.89177494204294,6.69488902324752,13.079529239406
RHOG,106.489061636561,136.390995457579,43.3871726590962,71.5715310583128,113.352405239533
STIM1,74.4102813649084,50.8852605895821,245.218636220224,68.6839347536958,28.6720679649683
RRM1,28.8289141638207,22.8292165194661,21.3691775486517,32.2238462332302,30.432584407201
TRIM21,50.6706151194194,76.1722689003928,40.5696314235626,56.1493203514176,71.8557109119122
TRIM68,3.70161517977303,5.81707688611171,9.83540115450218,4.94526205298162,2.11464335049609
OR51E2,0,0,0.218866605743454,0,0
MMP26,0.168305260361325,0.769428944686323,20.4242032852033,0.744335903225678,3.19509626916875
OR52Z1,0,0,0,0,0
HBB,0,0.426807913337452,0,18.167099195269,0
HBD,0,0.947658248257731,0.591887845287381,3.6670107774734,0
HBG1,0,0,0,0,0
HBG2,0,0,0,0,0
OR51M1,0,0,0,0,0
OR51I2,0,0,0,0,0
OR52D1,0,0,0,0,0
UBQLN3,0,0,0,0,0
UBQLNL,0,0,0,0,0
OR52H1,0,0,0,0,0
OR52B6,0,0,0,0,0
TRIM6,0,0,0,0,0
TRIM6-TRIM34,0,0,0,0,0
TRIM34,0,0,0,0,0
TRIM5,25.9369477087383,27.3390724988108,31.7301907235815,16.8209997913806,18.3412093702886
TRIM22,0,0,0,0,0
OR56B1,0,0,0,0,0
OR52N4,0,0,0,0,0
OR52N5,0,0,0,0,0
OR52N1,0,0,0,0,0
OR52N2,0,0,0,0,0
OR52E4,0,0,0,0,0
OR56B4,0.382193195403842,0.436811223806298,0,0.845131390120822,0
OR52W1,0,0,0,0,0.62525223220717
C11orf42,0.578309843833484,1.32190857221941,0,0,0
CNGA4,19.3019027711105,8.59189737125964,2.03050034234721,4.71744775952998,1.6071319489589
CCKBR,0.16583297970065,0,0.473510276229905,0,0
SMPD1,5.12333452922444,9.0577175368474,8.91447664585919,8.23127241927131,5.06567990311845
APBB1,0.923560673561686,2.35098397801468,3.59602340786727,12.9960708046039,3.85190667690405
HPX,0.121257659351481,0.138586210362119,0.519348574796364,0.536266241486746,0.767315876264156
TRIM3,10.0721292294564,8.5492614605117,12.646640891036,9.14102172420399,14.1174685824613
ARFIP2,32.9054527030826,37.7025976788954,47.6290321738173,28.0420704625632,32.9777001411361
TIMM10B,0,0,0,0,0
DNHD1,10.8563195055749,8.38293011629363,24.6579227981712,8.91553554511686,18.2746679983481
RRP8,26.7784805295146,26.1344622178612,30.8299004233632,16.8078832258874,13.4838416953131
ILK,14.9753035278327,12.4935031084529,17.5909951034104,22.9844688509553,39.784634428553
TAF10,0,0,0,0,0
TPP1,9.79213123045697,8.72731178027192,7.43887445793135,5.46291826954247,6.82176848818237
DCHS1,0.286298739223091,0.467446846098333,0.788285744346046,0.316541548069406,0.614681316623175
MRPL17,26.1154155312854,19.2350474933051,17.8135876600792,17.9660971790887,16.8318120682484
OR10A5,0,0,0,0,0
OR10A2,0,0,0,0,0
OR2D3,0,0,0,0,0
ZNF215,1.14479085050761,0.872259542078099,7.40921695879243,4.85192436138007,0.362210601497029
ZNF214,0.149300291999059,0.170636327509276,0.852607516711019,0.330142882814238,0
NLRP14,0,0,1.55933407531885,0.26835484052348,0
RBMXL2,0,0,0,0.519525806520377,0
SYT9,0.093142915401994,0.425814706854119,5.51856843777253,0.205963901294518,0
OLFML1,0,0,0,0,0
PPFIBP2,28.2246714070263,31.6825989195123,9.83695811584979,17.1342765852342,18.7586072111683
CYB5R2,0.051219934981995,0.146349037292012,0,0.283152443409489,0
OVCH2,0,0,0.301046404068582,0,0
NLRP10,0,0,0,0,0
EIF3F,51.420498832251,48.4088633435457,70.0095345255345,38.2286749151119,29.6411891815976
TUB,0.491245047350371,0,1.12213905092865,1.01385592531007,0.569907829029058
RIC3,2.04129200982572,0.722903464551836,2.6269709460946,1.46223072434643,1.72836473121287
STK33,0.753220857266474,0.331100493370743,4.09461141451669,1.47339132205825,0.687456560085657
TRIM66,8.6502306060337,6.53666026630845,12.4078101310027,6.16595860366256,9.98172179504549
RPL27A,701.563244836305,766.667643591073,467.134789177907,552.40786094704,462.38502174214
AKIP1,20.578611008179,30.9581408566161,32.3857868112527,18.2019254526196,32.4038328585349
C11orf16,0.253329436769405,0.386042600556084,0.964457064357804,0.373452766175369,1.33588605040044
ASCL3,1.39111077758365,2.38486507025998,9.93025105363663,0.769029511389563,1.10036490786538
TMEM9B,18.6087172529787,17.7370447849492,14.9760760749835,14.3782666789224,9.66141218467639
NRIP3,4.16472856733054,5.24809138551268,1.98195575843745,2.36136638714331,7.26432996051124
SCUBE2,1.39547085855298,0.28353657124939,0.354182218168868,0.617151870176974,1.27551807674662
DENND5A,91.8451614516451,99.442641011873,84.1335582952351,100.843485429144,259.346643976144
TMEM41B,17.1753577093287,10.9244294127513,52.8085226740765,18.6043577656991,39.8512753572441
IPO7,115.070062588371,100.432938871876,86.110490684263,91.580747109341,174.589409497402
ZNF143,30.7358088368992,31.4429782987655,24.9473805350327,27.1975380316132,25.9985579719462
WEE1,2.85931309300937,4.30277257886823,2.04108093417642,4.37320505454013,1.13085450808332
SWAP70,92.0376496997433,108.024934462401,54.421988189188,166.519329166237,789.87001389228
SBF2,9.54518786674715,12.0647119335356,6.71060390132049,7.60663615112504,20.4800964055968
ADM,9.23338262803453,22.5869008972157,1.50323833554775,15.4026595073676,6.91918198687537
AMPD3,30.9490406194237,21.4083154893837,28.9632078758424,36.9056051178331,50.8581435879109
MTRNR2L8,4.89958183885324,4.24809810289594,2.89448146597943,2.80197053363158,4.00919600927928
RNF141,17.3975124528791,10.2957857764676,23.6724105632015,14.8466457607721,18.5266554001519
LYVE1,0,0,0,0,0
CTR9,154.638582725469,120.780423825275,127.42349251822,130.713655005354,141.572865954759
EIF4G2,164.973924629029,127.967368243155,209.746177610137,141.511026304487,280.342656510174
ZBED5,13.6538085180489,10.2547349083811,26.7334808296552,12.2116758977432,14.9273170807781
GALNT18,0.971131097006288,0.693695243761863,2.07968533232489,5.43568377963566,4.70499287941282
CSNK2A3,0,0,0,0,0
USP47,79.0171929210624,55.8316619396998,117.824457876009,77.5478869386362,75.7519584454838
DKK3,0.174060708086668,0.596805530529577,3.35477210432306,0.673565875660635,0.963770884908383
MICAL2,11.1401495630394,21.7401518040595,3.24053821703831,5.98910493377291,8.70168067993298
PARVA,0.106169896577098,0.303355757068276,1.89469764798408,0.117385020667855,0.335920417978677
TEAD1,0.257001592239649,0.195819254723166,2.35436504818223,0.331507905921505,0.542100193932318
RASSF10,0,0,0,0,0
ARNTL,30.2754288598226,20.9482349614867,23.8780017585673,31.9536564129179,34.6401449664071
BTBD10,38.4227184941613,26.2761635745454,51.7975533070722,39.6261433939569,28.4989788540963
FAR1,59.665549841816,33.6432575266184,59.4143031878278,32.0593342581708,57.6650770200676
SPON1,0,0.986292688798227,3.51130329543575,0.620182658685291,0.955648158908568
RRAS2,1.02006732952268,1.02011170251201,7.82772960987361,14.1682496123122,6.55582307183915
COPB1,53.2874594516362,48.1532656682916,82.7536726447295,47.5790360311559,64.956163930189
PSMA1,29.3435454235534,43.9029023294633,29.2298639428092,41.7337708696804,36.7150535238137
PDE3B,34.1300123176725,43.9505147984893,20.7792220966979,51.9769882025277,35.5196889935283
CYP2R1,18.8652456983749,20.6140850348978,21.5049525613172,24.9003105057387,19.6651241810331
CALCB,2.06891068845483,1.40596185625436,5.74779174524439,4.20397590655986,1.41535379563889
CALCA,0,0,0,0,0
INSC,0.256353165126769,0,2.74491219080873,0,0.405549337222001
SOX6,0.112112080134759,0.102506932129732,3.53731057915663,0.123954899345486,0.212832853945443
C11orf58,69.5830403775521,63.9231810797684,87.3135209789873,57.7421043746595,59.616629119193
PLEKHA7,4.44814856491126,2.90831115353402,2.00240932095494,8.30747156940464,7.57581258834214
