Geneid,mDC1,mDC2,IL7R+CCR7-DC,IL7R+CCR7+DC,IL7R-CCR7+DC
AC096949.1,152,84,85,120,166
SLC35A3,247,204,266,140,237
MFSD14A,388,287,320,310,296
SASS6,90,32,54,36,45
TRMT13,744,380,536,193,426
LRRC39,123,62,97,25,72
DBT,210,135,133,94,174
RTCA,692,658,646,550,532
CDC14A,463,329,580,367,276
GPR88,0,0,2,0,6
VCAM1,1413,208,1536,664,296
EXTL2,21,10,47,8,42
SLC30A7,128,109,150,100,129
DPH5,692,486,523,143,365
S1PR1,10,7,140,251,213
OLFM3,0,0,0,0,0
COL11A1,6,58,4,6,12
RNPC3,724,383,459,407,444
AMY2B,573,357,494,242,363
AMY2A,3,0,1,0,0
AMY1A,7,0,7,0,0
AMY1C,0,2,2,0,0
PRMT6,75,90,39,16,22
NTNG1,0,6,9,0,0
VAV3,2536,944,1208,215,1161
SLC25A24,690,662,490,686,450
NBPF4,0,4,4,2,6
NBPF6,5,8,9,4,10
FAM102B,420,476,201,80,209
HENMT1,246,218,196,109,162
PRPF38B,20968,21105,15767,13635,14421
FNDC7,2,0,2,0,0
STXBP3,796,662,586,717,495
AKNAD1,2,0,0,4,2
RP11-475E11.9,24,22,28,13,22
GPSM2,300,195,254,261,224
CLCC1,575,512,580,867,586
WDR47,650,358,260,499,265
TAF13,199,167,113,129,126
TMEM167B,322,374,214,192,205
C1orf194,0,2,0,0,0
KIAA1324,8,4,192,15,3
SARS,3576,3519,2787,2191,2010
CELSR2,72,85,21,10,21
PSRC1,24,13,42,23,26
MYBPHL,0,2,0,0,0
SORT1,285,426,224,125,297
PSMA5,1510,1539,1126,984,980
SYPL2,0,0,2,0,2
ATXN7L2,55,27,60,51,43
CYB561D1,52,58,56,56,31
AMIGO1,6,8,30,40,4
GPR61,0,1,2,0,2
GNAI3,1700,2075,1295,1164,1026
GNAT2,41,33,25,10,19
AMPD2,3374,3827,1562,875,1640
GSTM4,639,311,339,149,164
GSTM2,981,325,576,114,299
GSTM1,387,239,243,94,185
GSTM5,12,0,19,16,16
GSTM3,195,130,172,64,146
EPS8L3,54,6,18,4,11
CSF1,521,196,417,81,265
AHCYL1,1364,1152,835,620,647
STRIP1,573,497,492,358,528
ALX3,12,8,6,17,18
UBL4B,0,0,2,0,0
KCNC4,34,4,31,28,79
RBM15,395,309,316,203,220
SLC16A4,9,5,5,0,5
LAMTOR5,149,160,126,85,107
KCNA2,0,0,0,0,1
KCNA3,0,13,52,14,8
CD53,4368,4626,3333,738,2149
LRIF1,564,337,455,395,258
DRAM2,685,636,433,255,398
CEPT1,1324,796,711,378,577
DENND2D,511,367,692,105,319
CHI3L2,11,23,25,100,60
CHIA,2,0,0,0,0
PIFO,0,0,2,0,0
OVGP1,44,28,28,11,33
WDR77,218,227,148,39,109
ATP5F1,1650,1703,1175,453,1009
C1orf162,5754,7938,1725,232,1930
TMIGD3,45,112,9,0,39
ADORA3,40,37,4,0,24
RAP1A,3665,3763,2345,1095,1590
FAM212B,106,143,65,9,49
DDX20,239,218,218,84,174
KCND3,299,2,18,4,45
CTTNBP2NL,1492,1529,825,2176,910
WNT2B,306,408,133,415,240
ST7L,268,284,183,153,184
CAPZA1,1702,1494,1119,951,842
MOV10,155,226,261,671,375
RHOC,1727,2090,1375,2705,1735
RP11-426L16.10,1556,1813,1197,2300,1512
PPM1J,279,39,36,11,71
FAM19A3,0,0,0,2,0
SLC16A1,188,51,122,116,168
LRIG2,166,161,118,92,139
MAGI3,100,75,69,158,165
PHTF1,462,304,501,205,294
RSBN1,485,298,403,293,297
PTPN22,846,349,759,97,244
BCL2L15,6,4,8,2,1
AP4B1,359,340,377,174,230
DCLRE1B,154,238,151,333,148
HIPK1,2210,1535,2030,1906,1383
OLFML3,0,12,6,6,6
SYT6,2,0,0,0,0
TRIM33,1428,818,1093,829,777
BCAS2,404,413,414,182,239
DENND2C,0,4,38,0,6
AMPD1,0,0,93,2,8
NRAS,326,365,342,368,271
CSDE1,8877,8384,6824,7459,6025
SIKE1,455,436,358,327,342
SYCP1,0,0,0,1,1
TSHB,0,2,0,10,0
TSPAN2,55,43,44,55,16
VANGL1,53,42,65,89,72
CASQ2,6,8,0,8,12
NHLH2,0,0,4,0,0
SLC22A15,50,66,137,26,26
ATP1A1,11074,8069,5914,6601,4959
CD58,438,366,494,398,267
IGSF3,10,0,28,119,16
CD2,21,52,213,40,43
PTGFRN,75,84,19,26,32
CD101,430,395,178,19,105
TTF2,1098,475,763,990,488
TRIM45,14,11,23,10,40
MAN1A2,1014,639,577,406,436
FAM46C,305,136,815,129,220
GDAP2,372,332,225,140,201
WDR3,449,255,354,198,324
SPAG17,29,6,12,9,14
TBX15,0,5,2,0,2
WARS2,107,105,58,37,76
HSD3B2,0,0,0,0,0
ZNF697,22,17,18,29,23
PHGDH,46,42,192,106,145
REG4,0,0,0,0,0
NOTCH2,2646,1582,1258,2092,1149
SEC22B,390,301,414,238,266
NBPF26,7532,5024,4576,6791,3810
PPIAL4A,0,0,0,4,0
AC241377.1,384,379,305,376,242
FCGR1B,4,14,0,0,0
FAM72B,135,184,103,206,131
SRGAP2C,1866,1994,938,2514,1437
HIST2H3PS2,37,52,10,10,38
FAM72C,78,53,47,72,50
NBPF15,678,406,527,562,582
SRGAP2B,2850,3392,1346,3387,2163
FAM72D,121,117,62,79,57
AC241585.1,31,41,54,10,31
NBPF20,206,119,166,236,133
GPR89A,190,132,171,101,94
PDZK1,2,15,617,63,49
CD160,4,3,73,18,4
RNF115,1350,1180,2119,2923,1398
POLR3C,539,495,503,361,456
NUDT17,50,42,47,39,62
PIAS3,157,109,161,206,142
ANKRD35,0,4,10,0,22
ITGA10,80,61,52,36,48
PEX11B,75,38,39,57,41
RBM8A,3127,3302,2537,1960,2288
CH17-270A2.2,2564,3183,2562,1372,2035
LIX1L,120,115,114,119,139
ANKRD34A,26,62,22,14,33
POLR3GL,1796,2566,2060,906,1602
TXNIP,9990,14569,11071,4725,6865
HFE2,0,0,4,2,2
NBPF10,3047,1836,1642,2221,1399
RP11-458D21.5,1729,1025,939,1092,835
NOTCH2NL,834,582,536,461,466
NBPF12,2653,1646,1560,1916,1513
PRKAB2,198,111,131,171,172
FMO5,241,170,113,94,136
CHD1L,3164,2597,2084,1062,1816
BCL9,66,63,46,50,99
ACP6,112,58,116,36,34
GJA5,0,0,2,2,4
GPR89B,108,61,58,64,51
NBPF11,1213,741,651,717,688
AC245100.1,54,35,63,26,30
NBPF14,6949,4234,3765,4790,3274
PDE4DIP,2522,1375,2575,2964,1506
NBPF9,1240,697,760,628,562
NBPF19,1596,1166,1215,1436,876
FAM231D,5,2,10,2,2
FCGR1A,8,14,2,1,6
HIST2H2BF,29,40,28,19,10
HIST2H3D,19,15,10,30,22
HIST2H4A,59,50,47,29,25
HIST2H3C,0,6,7,2,0
HIST2H2AA3,1140,1103,853,629,784
HIST2H2AA4,475,448,384,342,256
HIST2H3A,15,0,8,1,3
HIST2H4B,0,0,2,0,1
HIST2H2BE,215,194,134,77,111
HIST2H2AC,34,34,62,25,28
HIST2H2AB,16,27,41,26,14
BOLA1,52,41,55,22,46
SV2A,4,5,132,14,87
SF3B4,371,454,329,266,246
MTMR11,0,10,4,0,10
OTUD7B,3,44,183,46,168
VPS45,353,266,203,163,227
PLEKHO1,11835,10398,6754,8728,5473
ANP32E,3660,3572,4739,3248,2839
CA14,2,9,8,4,22
APH1A,925,981,629,480,538
C1orf54,1029,291,271,219,310
CIART,48,8,6,10,28
MRPS21,414,367,342,206,207
PRPF3,1449,1238,1335,1105,1191
RPRD2,848,636,549,421,438
TARS2,347,262,249,145,209
ECM1,10,2,4,4,10
ADAMTSL4,987,751,380,594,536
MCL1,65351,48908,40493,28752,32116
ENSA,5302,4881,3493,3265,2782
GOLPH3L,199,149,127,168,145
HORMAD1,14,4,7,0,5
CTSS,5401,6330,2779,1712,2728
CTSK,75,61,38,23,40
ARNT,796,747,610,524,538
SETDB1,1193,1066,743,581,812
CERS2,891,867,621,448,678
ANXA9,20,24,8,11,14
FAM63A,119,158,80,40,122
PRUNE1,80,72,67,41,65
BNIPL,3,9,4,5,6
C1orf56,254,210,246,282,139
CDC42SE1,4444,3759,3402,3843,2267
MLLT11,1184,927,963,1048,622
GABPB2,532,430,331,406,329
SEMA6C,6,4,146,10,14
TNFAIP8L2,434,630,183,73,214
SCNM1,1359,1589,689,546,638
LYSMD1,62,105,40,79,49
TMOD4,24,31,10,23,19
VPS72,1281,1062,988,809,880
PIP5K1A,1442,1147,1011,968,800
PSMD4,3321,3237,2782,2765,2036
ZNF687,294,317,247,256,216
PI4KB,1731,1400,1275,1242,1042
RFX5,3890,3104,2559,3164,2036
SELENBP1,0,2,14,10,122
PSMB4,449,494,341,388,306
POGZ,1387,1008,797,1045,872
CGN,4,6,72,257,78
TUFT1,66,47,126,31,53
SNX27,783,669,367,404,431
CELF3,5,0,0,0,0
RIIAD1,0,0,0,0,0
MRPL9,560,549,431,279,449
OAZ3,241,239,199,138,202
TDRKH,134,77,538,251,396
LINGO4,0,0,65,0,28
RORC,4,16,1756,80,305
C2CD4D,2,5,231,20,31
THEM5,0,1,179,15,47
THEM4,136,63,181,76,64
S100A10,2446,2606,1428,971,1083
S100A11,1122,1916,914,1195,997
TCHH,46,100,106,245,135
RPTN,0,0,6,4,4
HRNR,20,4,26,6,18
FLG,0,0,2,1,0
FLG2,0,0,0,0,0
CRNN,0,0,0,0,2
LCE3A,0,0,0,0,4
KPRP,2,0,2,0,0
IVL,0,0,0,0,6
RP1-20N18.10,0,0,0,0,4
SPRR1A,0,0,0,0,8
SPRR3,0,0,0,0,12
SPRR1B,0,0,0,0,4
SPRR2D,0,0,0,0,2
SPRR2A,0,0,0,0,2
LOR,0,0,4,34,2
PGLYRP4,0,0,0,0,0
S100A9,49,128,27,108,442
S100A12,0,0,2,6,6
S100A8,0,2,2,10,18
S100A7A,2,0,0,0,0
S100A6,965,2288,926,467,850
S100A5,4,1,2,0,10
S100A4,66,363,129,16,75
S100A3,2,0,2,0,0
S100A2,2,0,0,1,0
S100A16,10,10,18,50,200
S100A14,0,0,4,0,0
S100A13,103,88,67,145,666
S100A1,29,18,10,13,39
CHTOP,839,1025,837,683,739
SNAPIN,180,198,143,96,115
ILF2,2202,2452,2171,1427,1727
NPR1,22,11,13,333,133
INTS3,2821,2402,1631,3184,2078
AL513523.2,803,819,553,958,668
SLC27A3,437,389,219,496,247
GATAD2B,1295,1162,952,1101,903
DENND4B,1312,986,595,394,559
CRTC2,1197,1063,909,857,661
SLC39A1,615,923,482,502,486
CREB3L4,52,43,63,19,63
JTB,558,611,506,203,338
RAB13,377,935,856,1908,1601
RPS27,20684,22142,18012,10156,10246
NUP210L,15,4,7,10,18
TPM3,80917,74419,51002,53957,39464
C1orf189,0,0,0,0,0
C1orf43,849,848,608,570,529
UBAP2L,7112,5669,4578,5374,4417
HAX1,1155,1002,1329,944,860
AQP10,0,0,0,0,0
ATP8B2,127,72,348,191,282
IL6R,1894,1601,996,3836,1261
SHE,236,14,40,61,261
TDRD10,49,2,2,0,23
UBE2Q1,2952,2407,2070,1657,1749
CHRNB2,2,2,0,0,2
ADAR,3738,2849,2690,2746,2298
KCNN3,2,2,66,2,31
PMVK,442,417,394,222,358
PBXIP1,2907,1958,6656,5169,2890
PYGO2,432,311,333,207,290
SHC1,723,718,554,353,611
CKS1B,58,52,79,7,33
FLAD1,512,470,368,238,375
LENEP,4,0,0,0,0
ZBTB7B,1827,1756,981,727,730
DCST2,15,4,5,4,2
DCST1,24,6,11,4,7
ADAM15,303,430,117,108,237
EFNA4,102,64,31,38,31
RP11-540D14.8,48,32,13,17,5
EFNA3,30,44,14,10,6
EFNA1,2,16,4,3,30
SLC50A1,471,521,347,222,261
DPM3,52,50,38,20,36
KRTCAP2,106,136,109,38,82
RP11-201K10.3,95,135,97,30,73
TRIM46,7,22,12,22,29
MUC1,24,97,49,81,37
AC234582.2,2,6,5,4,0
AC234582.1,5,6,5,12,4
THBS3,225,199,127,153,184
MTX1,220,218,216,169,205
GBA,404,437,298,251,227
FAM189B,55,40,33,29,74
SCAMP3,335,282,241,131,246
CLK2,2080,1869,1547,1481,1364
HCN3,38,15,31,46,8
PKLR,0,2,10,0,5
FDPS,844,740,836,1023,714
RUSC1,135,100,100,73,51
ASH1L,3140,1998,2402,3104,1872
MSTO1,174,138,188,133,144
YY1AP1,1959,1993,1417,1539,1435
DAP3,2759,2908,1904,1682,1696
GON4L,3321,2743,2586,2056,2320
SYT11,208,214,152,259,185
RIT1,729,878,676,1078,582
KIAA0907,396,332,293,279,282
RXFP4,15,15,12,5,26
ARHGEF2,4207,3453,2726,4229,2495
SSR2,676,720,675,329,414
UBQLN4,654,511,455,490,350
LAMTOR2,710,604,363,164,323
RAB25,0,2,0,0,0
MEX3A,12,15,78,62,102
LMNA,7830,8542,6176,2405,5526
SEMA4A,1186,970,498,583,398
SLC25A44,643,379,400,252,317
PMF1-BGLAP,442,386,424,190,408
PMF1,469,410,430,209,421
BGLAP,2,2,2,0,6
PAQR6,6,2,21,4,23
SMG5,1285,1047,1010,954,855
TMEM79,47,30,50,53,67
GLMP,18,11,49,17,57
CCT3,4328,4109,3021,2210,2822
TSACC,3,5,0,6,1
C1orf61,6,0,0,29,2
MEF2D,3332,2618,2217,1447,1809
IQGAP3,142,85,157,19,61
TTC24,40,19,122,11,164
NAXE,153,160,168,72,74
GPATCH4,3315,2477,2236,1054,1825
AL365181.1,319,256,229,99,153
HAPLN2,0,2,2,0,2
BCAN,4,0,2,0,8
NES,58,72,83,461,2107
CRABP2,11,31,8,0,20
ISG20L2,663,731,530,376,389
RRNAD1,315,274,131,100,133
MRPL24,459,431,355,190,291
HDGF,8250,8985,7567,7234,5769
PRCC,958,962,726,652,636
SH2D2A,3,2,84,19,16
NTRK1,0,0,21,0,2
INSRR,0,0,2,0,0
PEAR1,0,2,2,10,44
ARHGEF11,95,271,132,196,201
ETV3L,2,3,0,5,3
ETV3,5544,3840,4248,8986,3887
FCRL5,0,6,675,22,96
FCRL4,0,0,2,4,43
FCRL3,0,0,24,2,32
FCRL2,0,0,22,2,26
FCRL1,12,2,5,0,55
CD5L,17,30,160,236,14
KIRREL,0,4,6,29,22
CD1D,406,1065,264,180,311
CD1A,10,41,68,50,41
CD1C,133,5923,1551,862,1056
CD1B,2,53,124,508,78
CD1E,38,776,457,1646,682
OR6P1,0,0,0,0,0
SPTA1,0,2,208,18,90
OR6K2,0,0,0,0,0
OR6K3,0,0,0,0,0
OR6N1,0,0,0,0,0
MNDA,5257,6862,1627,4228,3122
PYHIN1,2,2,36,0,10
IFI16,6718,6530,3147,1771,3788
AIM2,357,75,119,114,95
CADM3,1,8,2,38,58
ACKR1,0,2,0,6,40
FCER1A,10,604,24,2,68
DUSP23,187,163,101,20,68
FCRL6,158,106,45,3,37
SLAMF8,1345,1370,322,80,470
C1orf204,730,785,167,44,294
VSIG8,0,0,0,0,6
RP11-190A12.7,2,2,0,7,4
CFAP45,145,109,70,59,120
TAGLN2,4571,4362,2467,2417,2696
IGSF9,25,42,18,25,22
SLAMF9,12,36,1,0,12
KCNJ10,1,2,26,22,2
PIGM,52,44,48,8,30
KCNJ9,0,0,2,0,3
IGSF8,152,119,226,174,116
ATP1A2,41,16,24,6,14
ATP1A4,18,5,20,24,18
CASQ1,20,21,39,121,40
PEA15,3290,4332,3135,4776,2472
DCAF8,4829,3691,3904,3219,3248
RP11-574F21.3,4391,3455,3611,2930,2938
PEX19,336,308,294,196,215
COPA,2355,2306,1643,1251,1347
NCSTN,842,800,467,340,461
NHLH1,1,0,4,0,0
VANGL2,0,0,12,58,30
SLAMF6,54,20,437,58,45
CD84,879,587,899,3765,1107
SLAMF1,3,2,173,62,26
CD48,11384,9621,6102,1010,3462
SLAMF7,9586,4688,3503,4068,2929
LY9,501,259,328,46,157
CD244,725,624,342,52,179
ITLN1,0,0,2,0,0
ITLN2,0,0,0,0,0
F11R,952,1110,765,1610,814
RP11-544M22.13,783,872,641,1165,634
TSTD1,256,174,240,159,186
USF1,1237,1263,845,439,742
ARHGAP30,30118,29379,17275,11655,14362
AL591806.1,1,0,0,0,6
NECTIN4,2,0,2,0,0
KLHDC9,4,0,0,0,0
PFDN2,3739,3228,2587,1491,1935
NIT1,629,587,370,363,417
DEDD,549,528,342,397,366
UFC1,612,558,433,208,377
USP21,235,187,213,66,157
PPOX,83,77,88,36,80
B4GALT3,151,146,155,59,129
ADAMTS4,4,10,2,6,38
NDUFS2,2431,2438,1539,947,1546
FCER1G,849,1295,596,149,380
APOA2,24,44,2,1,10
TOMM40L,158,205,86,78,112
NR1I3,35,47,22,20,33
PCP4L1,6,0,3,1,0
MPZ,28,11,16,2,32
SDHC,312,250,195,142,218
CFAP126,73,46,40,29,51
FCGR2A,603,3856,529,311,1016
HSPA6,8342,11053,5736,2244,3716
FCGR3A,4,8,22,25,21
FCGR2C,853,5873,695,345,1777
FCGR3B,0,0,0,1,2
FCGR2B,588,6226,541,162,1442
FCRLA,4,2,8,0,2
FCRLB,3,10,2,0,2
DUSP12,82,115,66,24,57
ATF6,686,823,508,679,487
OLFML2B,20,70,60,64,59
NOS1AP,4,3,30,201,45
RP11-565P22.6,0,0,4,40,7
C1orf226,2,0,16,164,36
SH2D1B,116,47,216,6,10
UHMK1,2195,1273,1344,1191,928
UAP1,278,308,437,216,197
DDR2,26,20,34,25,64
HSD17B7,150,95,149,73,102
CCDC190,0,0,0,0,4
RGS4,0,2,2,4,2
RGS5,20,27,24,22,28
NUF2,62,28,239,40,89
PBX1,16,17,30,111,107
MGST3,108,60,81,67,80
ALDH9A1,467,464,343,182,338
TMCO1,1124,1115,937,558,773
UCK2,265,197,139,122,169
FAM78B,0,0,6,6,4
POGK,1355,1089,910,570,687
TADA1,64,63,41,32,69
ILDR2,84,28,299,41,57
MAEL,1,5,9,0,3
GPA33,20,35,24,105,20
DUSP27,0,0,2,2,11
POU2F1,186,96,212,416,154
CD247,0,2,773,91,97
CREG1,487,384,325,667,356
RCSD1,4015,6264,4885,2696,3529
MPZL1,454,372,253,456,364
ADCY10,2,2,2,0,0
MPC2,562,399,490,1189,480
DCAF6,2094,1738,2091,5344,2234
GPR161,18,7,18,11,11
TIPRL,384,392,339,239,239
SFT2D2,1481,765,500,477,627
TBX19,127,65,34,27,52
XCL2,0,4,62,0,0
XCL1,0,0,244,14,6
DPT,0,4,0,0,2
ATP1B1,348,279,243,303,330
NME7,77,46,51,30,48
BLZF1,155,127,150,38,131
CCDC181,0,0,12,10,22
SLC19A2,89,111,101,40,43
F5,0,0,4,0,36
SELP,2,3,0,0,4
C1orf112,249,178,233,130,155
SELL,1628,1516,1288,300,1131
SELE,2,2,6,18,18
METTL18,40,26,38,10,24
SCYL3,412,306,522,273,269
KIFAP3,138,112,164,142,106
GORAB,179,98,208,230,121
PRRX1,2,101,2,4,6
MROH9,0,0,2,2,0
FMO3,0,2,0,0,0
FMO2,0,0,0,0,0
FMO1,0,0,0,1,4
FMO4,9,12,18,15,18
PRRC2C,21856,13715,13870,16397,11490
RP3-454G6.2,1,0,0,0,0
VAMP4,235,166,205,94,121
METTL13,255,221,225,168,143
DNM3,20,15,10,11,24
PIGC,177,138,140,156,93
C1orf105,2,1,1,1,0
SUCO,838,426,904,761,553
FASLG,0,0,8,0,0
TNFSF18,8,2,15,18,0
TNFSF4,28,17,112,34,66
PRDX6,1373,1146,1203,908,945
SLC9C2,6,2,0,0,4
ANKRD45,0,0,0,0,4
KLHL20,250,211,222,85,210
CENPL,141,139,187,169,154
DARS2,145,84,113,124,105
ZBTB37,537,332,370,333,344
SERPINC1,4,0,2,0,0
RC3H1,830,572,563,646,475
RABGAP1L,1910,775,1674,2406,1432
GPR52,6,2,2,2,0
CACYBP,3027,2484,2219,1314,1476
MRPS14,163,153,202,110,212
TNN,0,0,6,0,0
KIAA0040,559,539,310,216,293
TNR,0,0,11,4,0
RFWD2,979,843,681,587,581
PAPPA2,0,0,2,0,0
ASTN1,0,0,0,0,4
BRINP2,0,0,0,0,4
SEC16B,13,7,19,12,84
RASAL2,190,84,145,123,232
LINC00083,9,2,2,0,2
TEX35,0,0,2,0,0
RALGPS2,268,129,521,118,297
ANGPTL1,6,0,3,0,17
FAM20B,475,278,292,481,327
TOR3A,1328,1112,1273,1261,780
ABL2,537,635,425,658,391
SOAT1,715,690,501,384,389
AXDND1,2,1,0,0,12
NPHS2,0,0,0,0,5
TDRD5,0,0,0,0,0
TOR1AIP2,784,526,469,1072,565
TOR1AIP1,729,537,519,508,415
CEP350,3788,1957,3013,7476,2839
QSOX1,599,695,334,146,416
LHX4,35,18,20,34,20
ACBD6,1043,927,681,378,614
XPR1,548,564,273,248,289
KIAA1614,38,55,21,17,28
STX6,1348,1486,756,1060,817
MR1,1074,1179,815,1131,650
IER5,22671,19388,15334,13963,12084
CACNA1E,0,0,2,8,4
GLUL,8320,12331,7105,4933,7381
TEDDM1,2,0,0,0,0
RGSL1,1,2,0,0,0
RNASEL,196,206,159,152,132
RGS16,31,18,67,24,23
RGS8,0,0,0,0,0
NPL,14,6,83,157,48
DHX9,2542,1971,1835,1462,1530
LAMC1,181,104,336,181,357
LAMC2,13,30,38,93,96
NMNAT2,0,2,0,0,0
SMG7,1712,1254,981,461,856
NCF2,6335,6888,2827,740,1874
ARPC5,3527,3956,2134,1751,1732
RGL1,493,1595,768,799,654
APOBEC4,4,0,2,11,4
COLGALT2,2,21,8,8,10
TSEN15,117,134,92,44,46
C1orf21,1217,122,613,451,486
EDEM3,632,445,481,302,289
FAM129A,11615,5355,6168,19328,5245
RNF2,810,500,399,178,291
TRMT1L,282,223,175,100,180
SWT1,149,107,135,105,76
IVNS1ABP,2910,2696,2021,1454,1672
HMCN1,0,0,0,12,48
PRG4,107,47,61,29,66
TPR,15259,7267,11873,10261,8308
C1orf27,996,681,887,532,844
OCLM,4,9,8,4,2
PDC,1,0,2,0,0
PTGS2,8374,5739,3283,499,2254
PLA2G4A,104,99,87,36,71
BRINP3,0,0,0,0,0
RGS18,2375,1813,841,183,620
RGS21,1,0,0,1,0
RGS1,67984,46204,46411,60507,40343
RGS13,42,24,70,115,68
RGS2,9925,8760,5931,3407,4755
UCHL5,1224,938,884,431,728
TROVE2,566,519,492,470,400
GLRX2,12,17,10,28,14
CDC73,1641,1580,1236,985,1065
B3GALT2,3,4,4,2,0
KCNT2,0,0,0,0,0
CFH,31,20,120,21,61
CFHR4,0,0,0,0,1
ASPM,229,91,665,157,159
ZBTB41,258,124,178,189,147
CRB1,2,0,0,3,6
DENND1B,1123,472,413,356,360
LHX9,0,18,0,0,12
NEK7,587,423,487,336,334
PTPRC,30707,20409,18273,8108,11530
NR5A2,0,2,0,2,0
ZNF281,262,221,190,309,255
KIF14,45,26,110,53,44
DDX59,792,595,584,439,542
CAMSAP2,61,123,148,262,336
GPR25,0,0,2,0,0
C1orf106,2,0,2,2,0
KIF21B,1063,280,684,630,321
CACNA1S,4,0,4,0,0
TMEM9,142,182,160,55,194
IGFN1,0,0,0,0,0
PKP1,0,0,2,0,0
TNNT2,199,222,662,7184,1871
LAD1,113,93,1561,15917,2717
TNNI1,47,54,60,149,76
PHLDA3,48,29,20,78,60
CSRP1,691,432,433,610,372
NAV1,2108,1200,986,3893,1290
IPO9,894,656,739,511,571
SHISA4,39,26,19,10,14
LMOD1,0,0,2,13,14
TIMM17A,269,269,284,256,195
RNPEP,742,740,440,307,369
ELF3,20,14,10,0,2
GPR37L1,4,0,5,3,2
ARL8A,542,655,513,544,342
PTPN7,1182,676,1320,247,585
LGR6,0,0,4,0,0
UBE2T,48,18,41,14,50
PPP1R12B,596,294,443,220,378
SYT2,53,23,93,8,157
KDM5B,675,401,934,933,762
RABIF,28,22,20,10,31
KLHL12,462,345,310,288,361
ADIPOR1,1981,1798,1318,773,951
CYB5R1,154,138,120,50,91
TMEM183A,691,674,557,417,439
PPFIA4,22,63,9,8,46
MYOG,2,4,8,2,2
ADORA1,15,24,2,0,9
MYBPH,14,12,9,10,9
CHI3L1,3,2,2,20,10
CHIT1,6,3,11,10,8
BTG2,10260,6053,8165,2698,4866
FMOD,0,0,0,20,4
PRELP,0,0,2,0,0
OPTC,0,0,0,0,0
ATP2B4,1186,709,834,550,1068
LAX1,0,2,256,18,31
ZC3H11A,6647,5437,5237,4305,4661
ZBED6,398,241,248,371,222
SNRPE,302,240,212,134,183
SOX13,0,0,87,18,66
ETNK2,0,0,2,4,4
REN,0,0,0,0,4
PLEKHA6,70,32,36,12,52
PPP1R15B,4769,3005,3697,4718,2732
PIK3C2B,23,18,113,15,125
MDM4,1760,1547,1088,507,1051
LRRN2,252,116,151,42,128
NFASC,4,2,0,8,2
TMEM81,12,4,6,2,2
RBBP5,418,371,376,259,240
DSTYK,122,140,143,99,188
TMCC2,3,4,31,344,124
NUAK2,274,223,230,563,235
KLHDC8A,0,0,10,6,0
LEMD1,1,0,0,0,0
CDK18,75,178,74,64,161
MFSD4A,20,27,16,8,16
ELK4,656,478,465,316,417
SLC45A3,18,6,24,20,26
NUCKS1,12078,10373,10079,10164,8017
RAB29,1115,484,638,730,417
SLC41A1,48,4,486,108,205
PM20D1,0,0,8,0,2
SLC26A9,5,0,0,0,0
RAB7B,1024,4,170,71,73
CTSE,11,0,13,4,0
C1orf186,108,1,56,14,110
AVPR1B,0,0,0,0,0
FAM72A,495,699,212,423,294
SRGAP2,6755,7834,2874,6116,4475
IKBKE,50,41,323,73,97
RASSF5,6182,4505,3332,1603,2010
EIF2D,473,367,330,224,287
DYRK3,38,16,44,26,47
MAPKAPK2,2167,1954,2523,1220,1894
IL10,8,39,26,8,26
IL19,4,4,2,1,0
IL20,2,8,0,0,0
IL24,127,78,112,4,74
FCMR,1081,586,874,84,443
PIGR,31,26,54,6,25
FCAMR,0,0,0,4,0
C1orf116,0,1,0,0,0
PFKFB2,1348,397,1099,176,1291
YOD1,396,211,204,116,194
C4BPB,0,0,11,0,0
C4BPA,0,0,1,0,0
CD55,4407,3942,3038,2070,2046
CR2,0,0,6,4,25
CR1,22,32,29,19,46
CR1L,0,0,2,1,0
CD46,1475,947,1166,1122,1153
CD34,0,2,2,23,131
PLXNA2,29,99,45,36,90
CAMK1G,3,5,7,35,3
LAMB3,44,94,73,339,90
G0S2,2140,3597,4500,8889,2773
HSD11B1,2,4,4,42,3
TRAF3IP3,1450,1884,2167,489,1408
C1orf74,79,135,107,36,78
IRF6,4,6,8,0,4
DIEXF,216,163,176,131,102
SYT14,0,0,0,0,0
HHAT,50,37,84,42,120
KCNH1,0,0,2,2,2
RCOR3,789,518,729,492,564
TRAF5,704,557,1685,3322,1123
SLC30A1,499,412,358,456,374
NEK2,38,40,148,36,43
LPGAT1,1316,986,945,684,777
INTS7,61,68,57,14,50
DTL,19,4,25,4,35
PPP2R5A,462,455,655,314,379
TMEM206,331,280,142,150,109
NENF,247,316,320,180,274
ATF3,8222,9445,6145,8260,6115
FAM71A,342,491,194,487,355
BATF3,5102,1694,1077,676,1038
NSL1,353,308,188,74,168
TATDN3,540,554,361,177,319
FLVCR1,342,260,152,128,171
VASH2,1,12,23,28,96
ANGEL2,532,373,343,275,322
RPS6KC1,664,483,395,478,382
PROX1,0,0,4,62,235
SMYD2,307,310,333,87,244
PTPN14,2,4,15,12,56
CENPF,677,244,1790,527,587
KCTD3,269,267,278,168,392
USH2A,0,0,2,0,1
ESRRG,0,0,4,3,22
GPATCH2,541,433,419,251,323
SPATA17,0,2,4,0,2
RRP15,316,310,321,96,153
TGFB2,0,6,10,10,20
LYPLAL1,27,10,10,22,18
ZC3H11B,2,2,8,6,8
SLC30A10,0,0,0,0,2
EPRS,2409,1652,1854,1200,1235
BPNT1,148,104,110,40,78
