Geneid,mDC1,mDC2,IL7R+CCR7-DC,IL7R+CCR7+DC,IL7R-CCR7+DC
SMAD9,5,2,1,10,7
ALG5,493,350,436,263,408
EXOSC8,179,146,176,110,183
SUPT20H,597,458,467,354,392
AL138706.1,1,0,0,0,1
POSTN,2,36,4,0,6
TRPC4,4,1,0,0,0
UFM1,1733,1414,1743,1185,1258
FREM2,0,0,1,0,0
STOML3,1,0,0,0,0
PROSER1,554,398,413,267,354
NHLRC3,582,383,446,138,256
LHFP,538,1124,171,139,464
COG6,252,168,215,94,191
FOXO1,165,157,207,463,175
MRPS31,430,450,474,208,411
SLC25A15,23,16,23,20,32
ELF1,7803,7071,6325,3978,4278
WBP4,1116,973,866,1038,692
KBTBD6,20,8,26,6,22
KBTBD7,32,8,32,8,23
MTRF1,156,120,160,134,144
NAA16,501,350,523,157,322
RGCC,1714,699,960,275,560
VWA8,370,180,301,107,200
DGKH,148,83,87,680,170
AKAP11,1774,653,1009,554,669
TNFSF11,6,39,460,42,10
EPSTI1,3667,4749,2069,9472,4222
DNAJC15,446,476,226,306,203
ENOX1,199,4,63,1388,255
CCDC122,260,133,159,47,131
LACC1,2763,487,1218,779,865
RP11-65B7.2,75,23,21,10,19
SMIM2,4,5,7,0,1
SERP2,0,0,21,0,3
TSC22D1,630,1248,800,902,1803
NUFIP1,137,81,120,53,66
GPALPP1,962,898,738,393,671
GTF2F2,1087,922,767,424,624
KCTD4,0,1,0,0,0
TPT1,69179,72142,65402,35125,36722
SLC25A30,389,312,234,183,201
COG3,415,312,356,232,300
ERICH6B,35,22,37,35,36
SIAH3,0,0,4,0,0
ZC3H13,9129,5025,7070,5243,4629
LCP1,58796,39371,35840,40120,23131
LRRC63,5,0,5,0,3
KIAA0226L,752,71,165,26,302
LRCH1,726,540,732,551,648
ESD,220,193,130,97,121
SUCLA2,265,225,294,155,243
NUDT15,62,59,126,40,71
MED4,1133,1081,1042,944,714
ITM2B,4344,6644,4538,5359,3873
RB1,1244,1318,702,1082,806
LPAR6,294,380,149,126,216
RCBTB2,163,208,152,22,70
CYSLTR2,746,722,351,48,276
FNDC3A,360,252,529,269,337
CDADC1,199,162,257,77,213
CAB39L,39,30,42,40,29
SETDB2,1152,805,812,457,555
PHF11,2003,1657,1271,1037,1218
RCBTB1,409,171,237,143,214
ARL11,323,214,108,38,148
EBPL,34,24,14,4,42
KPNA3,712,530,502,512,388
SPRYD7,183,157,153,95,146
TRIM13,189,178,149,152,162
KCNRG,3,3,0,9,6
DLEU1,108,75,66,23,74
DLEU7,2,0,4,8,0
RNASEH2B,509,381,406,473,368
LINC00371,0,0,15,0,0
FAM124A,4,0,4,19,130
SERPINE3,26,7,33,8,18
INTS6,2213,1571,2046,1233,1709
WDFY2,791,525,686,128,575
DHRS12,78,80,106,94,54
RP11-327P2.7,2,0,2,0,0
ATP7B,20,12,24,15,22
ALG11,377,252,356,182,294
UTP14C,596,369,570,342,452
NEK5,2,11,2,18,7
NEK3,946,1024,354,593,608
THSD1,3,0,2,8,21
VPS36,948,789,670,358,471
CKAP2,679,391,489,257,296
HNRNPA1L2,810,699,708,450,557
SUGT1,926,841,687,722,541
LECT1,0,0,0,0,0
PCDH8,0,2,2,0,0
OLFM4,0,0,0,0,1
PCDH17,0,4,2,98,653
DIAPH3,34,44,155,2,22
TDRD3,701,532,582,259,516
PCDH20,0,0,20,0,0
RP11-310K10.1,0,0,20,0,0
PCDH9,0,0,288,20,139
DACH1,22,1,55,12,44
MZT1,56,42,68,44,30
BORA,146,126,101,63,87
DIS3,1243,669,833,804,817
PIBF1,633,331,472,236,384
KLF5,26,14,32,286,88
KLF12,252,101,302,461,161
TBC1D4,377,129,1506,8833,1666
COMMD6,368,346,284,101,144
