,CD141+_1,CD141+_2,CD141+_3,CD141+_4,CD1C+_1,CD1C+_2,CD1C+_3,CD1C+_4,IL7R+CCR7+_1,IL7R+CCR7+_2,IL7R+CCR7+_3,IL7R+CCR7+_4
NEU3,5.40620747054655,5.56268511775136,6.01338108404258,5.29400860648027,3.41463006791324,3.17199206224282,2.85968138680474,2.48940863704702,8.22695668591112,9.74065345322624,9.37668677027248,12.2586470011866
OR2AT4,0,0,0.319455453172089,0,0,0,0,0,0,0,0,0
SLCO2B1,0.527863935480214,0.125911210315535,1.09338883151201,1.71179577761334,0.490670093747883,0.034559458560218,0.089209567095365,0.256780096440855,1.39053421080911,3.34745709255262,2.01152512406565,0.285984265574215
TPBGL,0.745253555133507,0,0,0,0,0,0,0,0,0,0,0.068378853422928
ARRB1,23.7060929630248,22.9498755164374,24.360013093783,22.0651200241839,32.5232538708208,20.6851938954439,29.5338527601869,21.0841085176843,16.6794324776334,8.97953602340385,10.5690349441164,16.7617301626007
RPS3,329.140081995709,362.78214202868,325.728302997822,340.798673895062,307.872197393369,386.67555002587,273.231074208211,296.208281114511,311.06004388096,242.611162416756,361.652567907782,337.329410178383
KLHL35,0.103228187834154,0,0.099049568202336,0.053256623247178,0,0,0.10990774397986,0,0.165522939330362,0.237018711154821,0.057366529346039,0
GDPD5,4.58827167871303,4.11122209835878,5.07725991911424,1.93180615009839,1.35891000411621,1.8671161661271,1.70325628538311,1.55409101331904,1.86042616982019,1.52575480581092,1.23094723078971,3.25174816241209
SERPINH1,29.8097440998087,20.7537175206817,26.7232872771668,17.7010969970786,34.0248776030632,22.0575216796328,25.0301131671448,17.558103823071,7.47123525340488,8.16965007132617,8.29772875358303,16.342692076741
MAP6,0.242673695727641,0.101298533963633,0.129361333050411,0,0.315804516734608,0.139019491511276,0.258376311550976,0.667430512662415,0.453972327075274,0.594341090219283,0.584393093056735,0.192971225628253
MOGAT2,0.377173202371566,0,0,0,0,0,0,0,0,0,0,0.092284193095066
DGAT2,4.11427336236536,2.41124148866546,2.37916519855793,4.38104949712642,2.13308472942138,0.633541983275829,1.65874722983664,1.0087023826411,1.42497347902831,2.66017448242803,2.15836758906636,1.88445372974049
UVRAG,32.3594854336317,26.2374645298636,34.6392910638719,40.3207135470294,32.8467074696141,22.0480667664505,51.4038334030005,30.1598665378434,69.4239611132496,101.423530435239,33.1888582591209,60.9747756727903
WNT11,0.216731901237806,0.135704595790931,0,0,0,0,0,0.510927647760732,0.695044679020703,0,0,0
THAP12,16.0954079816748,18.258441314341,14.4745939719149,11.1528136055749,16.5638590316663,15.8793399451259,18.8577479664619,12.1451277460753,15.4958668542882,13.6072727343041,14.8203870940365,28.2753417142634
EMSY,7.04400751354319,7.9776808029811,6.29980360110206,5.65049021231253,4.32762610960356,6.4361954152631,8.38535861015375,5.43111218636469,6.07229886377352,5.15118519943289,4.04951805834747,7.48822435508192
LRRC32,1.69217599812594,0,3.50863677139491,3.67267658782924,1.3668336776096,0.040112688445483,0.621265908726706,1.238016992651,2.24552896298996,3.16186894159927,1.23222893344568,0.235568907121846
TSKU,0.125967875786001,0.078873574072628,0,0,0.147535980839051,0,0,0,0.100992633401641,0,0.280014209085822,0
ACER3,15.8725566725341,16.2295832568986,14.2738539159352,13.9925752934342,11.9843886183909,13.2843844547574,16.6261609581411,10.4625781004138,6.54810179307492,3.90627724625777,4.21342276182257,7.13751059180648
B3GNT6,1.38713368777753,1.3648492305538,0,1.84021305415174,1.85672852047562,1.56657920369512,0.070328121020878,0.07785842106331,0,0,0,0
CAPN5,0.717348849564021,0.184948681597322,0.18894810861476,0.348318699693839,0.329479477157596,0.667180828560394,0.778741938180581,0.066317292803196,0.202984383027332,0.155019308846118,0.234499411639136,0.603981784528001
OMP,0,0,0,0,0,0,0,0,0,0,0,0
MYO7A,0.487288940491249,0,0.410143644905516,0.449870166822419,0,0.141044832156458,0.127429425392388,0,0.472923266505179,0.494648354491089,0.228041142973589,0.592995301599065
GDPD4,0,0,0.574278294268897,0.084211617876106,0,0,0.463442022084882,0,0,0,0.090710374665428,0.029953283815909
PAK1,124.785499587889,148.041929531973,124.714922051841,118.826001929799,92.4350044028672,118.863046829722,133.519640415456,81.6656348150545,61.2322472859538,44.9927362754946,43.8895933891593,77.435843698452
CLNS1A,61.8736539634356,72.4808382590694,76.5490955594108,69.6890749661409,78.3517264339779,81.9916192777765,82.1254182764124,76.938226762799,61.4625837643386,48.9164914440577,46.6020599043344,56.1883423152074
AQP11,0,0.271975571363961,0.625178055060069,0,0,0.074650449824044,0.154158302004028,0,0,0.299201499899362,0.844863406107546,0.398543692842735
RSF1,29.6718571885384,36.515778884845,35.6452819127739,31.9465065170804,29.2473866178168,26.3293749055001,35.7982021180634,26.5247514866849,42.2899305700676,55.6566494265147,33.676970027725,54.1641843895874
AAMDC,6.15984857542735,5.28231710579608,7.96632788087866,3.31610875292673,4.391454408567,4.97095923830882,2.47129325312479,9.89134538803489,8.58879194199026,8.73202304973064,8.185876013297,5.11120491803006
INTS4,10.5805238585263,9.97757204739688,7.72720350526007,6.71829584193809,5.05049619491627,9.04029974941906,9.82090411486115,5.35208066846365,5.42621747085808,6.216008858188,5.47517905166925,11.3350445519412
KCTD14,0,0,0,0,0,0,1.15606664038075,0,0,0.249308570251738,0.603410901269448,0.09962552822652
NDUFC2-KCTD14,28.3496347085214,45.7577496383861,51.381663718133,37.3773163991986,30.7441049660069,33.1307010897052,25.7123356744491,31.435761672465,26.0118998571212,19.3831376843601,19.6057406395514,23.2369307867179
NDUFC2,9.22230198302513,14.6204303939627,17.195906395976,12.4515069562784,9.57565260253457,10.8585440883574,8.42627418623676,10.3307438301063,8.5736919259912,6.21734398810484,5.88837572375667,7.12942368906999
