"","Ctr_1","Ctr_2","Ctr_3","Ctr_4","Ctr_5","PAMP_1","PAMP_2","PAMP_3","PAMP_4","PAMP_5","PAMP_6"
"PLIN3",529,311,245,259,380,1155,669,1046,600,890,777
"UHRF1",4,8,15,18,6,23,27,49,15,9,18
"KDM4B",381,200,291,192,284,753,429,751,370,442,462
"PTPRS",6,15,7,26,11,18,1,8,0,12,0
"SAFB2",9417,4972,5387,4417,5619,7368,4911,6733,3780,5296,5914
"SAFB",9447,5367,4757,5336,6095,10378,6842,8752,5007,7142,8161
"RPL36",784,691,391,533,584,641,530,711,416,508,709
"LONP1",2265,1538,1191,1626,1599,956,703,1153,568,674,878
"DUS3L",250,285,110,196,260,197,202,189,106,203,226
"NDUFA11",147,112,65,43,125,39,64,41,35,69,44
"VMAC",15,16,0,5,6,12,10,7,11,14,14
"CAPS",35,4,0,21,22,27,20,6,18,6,22
"RANBP3",720,583,416,486,532,793,614,722,503,626,557
"RFX2",51,65,31,77,55,21,7,15,11,6,12
"MLLT1",159,129,73,102,99,234,134,220,114,180,216
"CLPP",162,93,27,69,92,54,71,114,74,97,102
"ALKBH7",18,19,12,11,14,7,18,22,7,7,33
"GTF2F1",4837,2531,2321,1892,2753,6414,4143,5591,3658,4961,5429
"KHSRP",1638,801,695,948,979,1466,953,1280,676,1050,1185
"DENND1C",81,55,91,57,23,10,0,15,7,6,1
"TNFSF9",8,5,0,35,0,18,58,1,25,10,13
"CD70",18,4,6,20,12,57,20,51,25,20,30
"TNFSF14",547,323,338,464,449,22,12,11,5,3,2
"C3",81,19,90,49,67,45,51,42,13,8,28
"GPR108",239,118,106,162,118,117,46,86,46,58,92
"TRIP10",1859,1138,1188,1661,1611,20952,11653,15519,7815,10333,10577
"SH2D3A",3,0,0,2,8,132,70,216,60,100,103
"VAV1",128,111,117,171,125,731,476,471,227,387,354
"ADGRE1",3,9,0,0,0,168,109,168,139,237,109
"ZNF557",140,70,60,93,77,63,34,49,29,41,51
"INSR",200,141,84,78,125,69,76,71,63,71,99
"ARHGEF18",465,408,242,277,471,562,476,705,366,470,542
"MCOLN1",414,146,177,128,276,142,87,120,85,111,80
"PNPLA6",997,805,502,508,672,351,328,389,211,361,456
"XAB2",544,254,288,311,246,513,357,415,256,376,383
"PET100",771,633,491,502,685,590,372,594,246,490,448
"STXBP2",538,392,306,453,370,869,405,579,325,438,576
"MCEMP1",166,80,68,108,111,0,0,0,0,0,2
"TRAPPC5",68,69,76,49,35,55,78,54,43,53,43
"FCER2",286,93,144,188,341,18,10,18,3,7,9
"CD209",24,17,17,15,23,0,0,4,0,0,0
"EVI5L",227,96,82,118,131,211,177,190,153,168,144
"MAP2K7",401,345,303,241,268,396,249,232,144,255,334
"SNAPC2",154,92,25,50,101,67,14,31,43,34,44
"TIMM44",1174,576,388,494,438,332,312,324,311,411,304
"ELAVL1",324,137,110,182,220,275,260,307,201,209,225
"CERS4",121,48,75,158,137,81,87,124,37,63,41
"NDUFA7",42,20,13,16,17,18,9,27,20,27,11
"RPS28",144,77,64,73,47,69,89,77,57,108,70
"ANGPTL4",15,7,16,6,28,10,25,12,10,5,7
"RAB11B",570,463,414,365,379,630,460,544,334,468,476
"HNRNPM",19396,12612,11969,11926,12562,26237,16132,20327,11784,17176,18687
"PRAM1",166,132,47,77,47,0,5,0,0,0,11
"ZNF414",9,21,12,9,9,9,11,21,3,27,9
"MYO1F",2810,1935,1433,1856,1517,365,321,250,178,266,372
"ZNF558",126,73,82,113,52,38,44,88,44,40,36
"ZNF317",870,357,448,447,557,714,564,617,404,352,592
"ZNF699",185,77,63,118,100,139,77,135,67,94,119
"ZNF559",304,143,155,136,154,156,77,110,98,100,79
"ZNF559-ZNF177",192,70,120,104,96,102,66,132,77,48,72
"ZNF177",6,5,0,0,7,0,15,34,21,6,25
"ZNF266",499,377,333,251,292,287,331,297,244,275,264
"ZNF426",239,91,112,225,197,422,216,467,107,260,240
"ZNF121",457,239,212,176,349,182,223,276,114,189,267
"ZNF561",205,244,151,102,267,165,98,222,89,112,189
"ZNF562",296,307,213,295,217,254,209,191,106,170,235
"ZNF846",67,46,32,50,59,70,32,70,41,40,36
"FBXL12",139,75,51,72,42,78,95,87,83,86,105
"UBL5",333,441,152,264,383,427,277,284,267,242,346
"PIN1",924,707,492,764,664,751,770,875,448,628,776
"OLFM2",592,322,550,518,486,19,19,33,0,8,12
"COL5A3",836,493,228,407,428,1212,1176,1746,1019,1539,1741
"ANGPTL6",175,87,47,69,98,438,170,339,166,326,417
"PPAN-P2RY11",675,543,365,482,429,456,260,331,246,328,286
"PPAN",662,566,381,470,415,445,263,326,262,320,278
"P2RY11",243,189,53,126,153,57,89,63,70,87,80
"EIF3G",4379,2709,2522,2426,2744,3288,2507,3027,1818,2569,2633
"DNMT1",7424,5207,3274,4013,3659,1807,1540,1923,1326,1889,2012
"S1PR2",63,59,50,32,41,13,3,3,4,14,4
"MRPL4",368,297,182,148,189,124,126,128,82,177,191
"ICAM1",4047,1981,2210,2415,2033,13090,8474,10509,5929,9265,9135
"ICAM4",1,9,0,15,0,24,0,12,0,11,11
"ICAM5",319,157,108,239,220,46,48,27,18,39,32
"ZGLP1",114,123,219,39,4,55,0,68,26,24,0
"FDX2",52,44,17,54,31,31,21,66,19,32,48
"RAVER1",283,185,198,115,189,216,267,304,205,195,243
"ICAM3",32,33,23,46,5,25,0,32,4,5,14
"TYK2",1732,911,932,1098,1030,1442,1333,1582,684,1300,1363
"CDC37",28888,16613,14425,15194,16710,13967,9040,11776,7347,10619,10760
"PDE4A",667,366,364,447,329,39,50,39,20,38,45
"KEAP1",916,480,640,443,568,1104,612,739,492,647,613
"ATG4D",61,15,29,13,34,28,20,62,8,32,56
"KRI1",1675,1032,929,837,984,1530,1319,1667,992,1227,1566
"CDKN2D",37,23,0,16,12,69,4,26,30,67,46
"SLC44A2",16,31,7,41,33,28,13,50,9,22,27
"ILF3",4704,3099,2467,2570,2895,3075,1904,2932,1820,2135,2620
"QTRT1",52,45,42,31,38,49,37,26,18,33,33
"DNM2",2200,1626,1209,1225,1631,1992,1616,1900,1178,1545,1830
"TMED1",140,79,50,62,100,137,105,90,78,97,111
"C19orf38",9,9,4,6,16,27,61,68,26,28,65
"CARM1",146,151,74,107,123,272,201,285,145,213,300
"YIPF2",209,107,111,112,74,115,133,91,105,96,101
"SMARCA4",3748,2694,2413,2504,2257,4179,2712,3234,2079,2805,3038
"LDLR",318,110,132,70,145,330,225,300,250,265,292
"SPC24",67,3,31,0,32,40,25,62,29,65,63
"KANK2",25,9,24,0,0,73,158,7,85,94,174
"RAB3D",91,34,56,69,44,36,55,50,17,53,24
"TMEM205",117,67,79,107,75,58,101,70,53,66,28
"CCDC159",539,381,234,334,410,232,284,354,255,251,201
"SWSAP1",117,111,0,0,36,33,0,32,48,0,152
"PRKCSH",2238,1747,1333,1409,1245,2163,1729,1802,1285,1733,1902
"ZNF653",126,111,36,34,78,54,36,33,49,48,59
"ECSIT",115,119,25,84,37,86,18,56,65,91,50
"ELOF1",92,93,68,62,62,33,22,28,22,37,18
"ZNF627",271,215,168,193,136,162,124,97,92,134,103
"ACP5",611,712,754,736,960,12,43,12,0,13,30
"ZNF823",35,3,0,17,22,28,55,19,21,35,41
"ZNF441",190,74,92,89,159,250,155,188,127,123,145
"ZNF440",155,37,49,120,78,124,80,117,77,56,69
"ZNF439",53,15,68,33,44,109,61,97,34,41,38
"ZNF700",170,148,120,135,114,161,143,162,76,145,144
"ZNF763",0,0,10,47,2,23,33,0,3,0,14
"ZNF433",74,24,24,41,30,100,49,99,77,58,60
"ZNF844",190,125,96,201,142,324,120,209,108,140,164
"ZNF20",32,0,27,11,1,38,13,75,18,38,9
"ZNF625-ZNF20",50,0,32,24,10,76,52,80,65,30,11
"ZNF625",30,0,1,3,66,74,102,0,43,1,8
"ZNF136",333,161,193,206,182,226,208,247,111,171,228
"ZNF44",262,142,162,200,233,362,284,383,142,231,276
"ZNF563",44,92,80,66,104,101,13,37,0,40,54
"ZNF442",60,28,18,60,50,141,241,246,143,142,127
"ZNF799",81,32,26,20,52,59,23,39,36,33,41
"ZNF443",12,0,4,4,0,6,6,12,7,17,3
"ZNF709",19,0,8,5,28,17,41,43,28,15,5
"ZNF564",300,131,122,99,195,224,130,202,122,162,185
"ZNF490",51,17,27,24,47,15,22,31,4,18,23
"ZNF791",417,225,228,227,268,201,200,186,99,137,220
"MAN2B1",2523,1638,1220,1478,1461,364,230,206,147,239,326
"WDR83",589,477,405,371,487,209,145,272,83,190,214
"WDR83OS",364,265,254,184,209,142,98,180,84,125,149
"DHPS",575,285,239,235,353,450,270,426,295,308,366
"TNPO2",198,114,121,107,151,299,247,322,161,245,223
"HOOK2",670,572,357,277,398,948,637,921,649,1032,736
"JUNB",1593,740,538,579,556,1454,1272,1471,1300,1811,1253
"PRDX2",3,10,1,17,26,55,13,16,8,9,13
"RNASEH2A",69,5,29,0,42,114,26,172,96,59,113
"DNASE2",17,17,30,0,16,0,5,38,18,7,3
"GCDH",135,98,44,77,65,123,68,126,84,109,122
"FARSA",1040,719,727,745,855,788,576,661,301,559,516
"CALR",30859,19395,17347,18195,18814,36584,28795,32561,21809,28064,27909
"RAD23A",1665,1066,821,875,935,2129,1477,1787,1172,1627,1865
"GADD45GIP1",1341,915,552,742,695,1294,1230,1228,1066,1271,1188
"NFIX",6,8,0,0,10,125,75,126,60,92,92
"LYL1",87,33,6,6,32,0,5,0,0,0,14
"TRMT1",350,358,169,213,193,155,154,188,126,143,268
"NACC1",842,598,471,660,650,1254,674,1088,508,788,867
"STX10",225,193,81,97,204,96,101,50,43,82,128
"IER2",623,297,299,333,264,541,479,476,345,399,533
"CACNA1A",14,6,7,17,7,75,114,120,44,73,105
"MRI1",84,29,57,38,65,185,132,163,93,127,85
"C19orf53",1101,989,828,620,740,879,634,804,518,734,685
"ZSWIM4",1106,554,551,701,813,951,612,715,383,531,683
"NANOS3",3,8,10,7,17,27,16,34,12,14,7
"CC2D1A",517,309,141,205,217,115,121,123,134,154,154
"DCAF15",153,121,62,92,80,144,124,80,63,177,116
"RFX1",58,10,25,10,3,22,7,44,35,18,28
"IL27RA",976,557,416,485,349,136,57,94,84,105,112
"SAMD1",293,252,139,55,113,24,52,43,43,49,67
"PRKACA",492,235,231,176,223,137,68,107,60,109,137
"ADGRL1",381,163,154,166,325,235,81,149,55,143,151
"ADGRE5",290,266,238,379,298,479,235,349,176,233,190
"DDX39A",551,504,300,456,529,881,531,667,381,604,564
"PKN1",492,368,268,267,262,688,655,630,368,749,712
"GIPC1",63,40,51,24,24,94,77,178,64,131,97
"DNAJB1",854,460,518,395,664,2056,1291,1414,905,1267,1266
"TECR",47,81,56,17,44,76,84,70,43,96,100
"NDUFB7",213,219,157,111,201,149,158,165,119,170,105
"CLEC17A",169,119,262,115,120,46,12,66,9,35,22
"ADGRE3",55,52,35,48,68,0,16,6,6,9,0
"ZNF333",514,350,271,413,429,289,309,233,111,239,264
"ADGRE2",1045,650,375,538,451,124,58,70,69,90,127
"ILVBL",105,53,30,65,79,56,16,27,12,37,26
"NOTCH3",80,50,54,61,84,30,10,5,14,0,9
"BRD4",2858,1561,1702,1715,1723,2836,2253,2673,1648,1965,2104
"AKAP8",2018,1167,1360,1231,1255,2039,1713,1691,1129,1301,1494
"AKAP8L",1598,911,738,876,818,1717,1101,1286,952,1238,1296
"WIZ",171,79,163,91,124,139,210,224,53,154,155
"RASAL3",88,47,40,5,112,23,4,0,3,0,13
"CYP4F3",50,15,79,377,96,2,1,9,0,0,0
"CYP4F11",66,56,45,98,33,127,17,71,28,74,21
"TPM4",22919,14755,13333,12895,13519,40461,25292,30809,21016,28741,27609
"RAB8A",3043,1959,1843,1653,2000,4710,2861,4295,2621,3236,3277
"HSH2D",48,9,8,8,30,687,427,625,395,656,536
"FAM32A",1637,1296,1096,928,1289,1701,1087,1268,747,1132,1304
"AP1M1",612,370,380,351,437,1255,937,896,580,780,904
"EPS15L1",342,306,294,343,340,929,697,843,340,627,655
"C19orf44",107,68,56,44,79,78,97,99,44,82,107
"CHERP",441,203,297,197,267,413,340,385,217,301,309
"SLC35E1",395,286,283,289,261,325,237,258,165,230,198
"MED26",224,76,161,68,108,154,170,239,86,192,156
"SMIM7",145,84,87,133,89,116,135,128,64,100,91
"SIN3B",243,191,141,173,251,425,259,477,203,351,260
"HAUS8",442,160,201,99,183,115,92,67,48,119,117
"MYO9B",12410,9077,7704,7900,8507,17913,12325,16310,9368,12744,14166
"USE1",377,203,197,177,325,664,303,518,318,399,336
"OCEL1",136,216,0,79,37,0,0,169,24,0,188
"BABAM1",639,415,316,321,363,430,287,348,217,346,406
"ANKLE1",25,0,9,4,42,117,53,46,29,58,4
"MRPL34",76,60,38,75,42,24,44,37,14,34,40
"DDA1",591,330,313,234,419,741,423,463,320,472,522
"ANO8",16,11,11,14,24,8,34,29,0,18,27
"GTPBP3",20,36,9,10,34,8,26,19,5,28,28
"BST2",1958,793,490,880,776,10422,7156,8729,7021,9360,10385
"MVB12A",35,62,38,46,24,129,100,68,31,109,127
"SLC27A1",53,17,16,14,30,33,33,51,43,28,34
"PGLS",43,31,27,27,49,85,43,103,32,48,77
"COLGALT1",228,209,188,183,149,244,154,126,72,139,192
"UNC13A",3,0,0,3,0,28,4,0,0,7,20
"MAP1S",204,126,106,118,91,71,46,33,26,49,66
"FCHO1",110,100,16,57,137,0,0,20,3,9,0
"JAK3",201,165,155,212,263,1351,720,1286,416,781,820
"RPL18A",2079,1516,1319,1159,1636,1752,1446,1498,993,1440,1212
"CCDC124",1756,1053,855,988,1056,1657,1068,1540,833,1330,1359
"KCNN1",56,20,62,29,24,82,138,179,81,98,59
"ARRDC2",514,514,267,336,510,311,213,272,180,222,269
"IL12RB1",10,7,6,14,5,49,12,51,13,24,45
"MAST3",69,25,41,76,63,70,17,133,4,57,53
"PIK3R2",198,134,74,114,160,114,140,92,69,85,148
"IFI30",21042,15878,10517,10932,12094,7501,4799,6516,4047,6975,6655
"MPV17L2",18,21,0,25,35,100,10,31,22,49,46
"JUND",552,204,199,189,172,136,104,146,119,183,96
"LSM4",212,225,93,71,173,61,68,87,70,102,75
"PGPEP1",142,120,50,108,11,6,13,0,9,5,14
"LRRC25",27,26,1,150,35,0,0,4,0,0,0
"SSBP4",199,59,66,83,85,3,2,14,11,1,0
"ISYNA1",74,80,56,34,116,3,0,10,0,8,0
"ELL",381,176,200,200,306,827,553,740,332,581,578
"FKBP8",1586,1023,664,750,903,1062,916,898,595,1060,1122
"KXD1",942,509,555,609,774,953,804,963,442,776,637
"UBA52",1096,876,686,661,905,973,727,711,535,776,565
"CRLF1",184,88,101,90,146,137,97,138,78,96,89
"KLHL26",29,11,5,32,17,54,8,17,13,23,10
"CRTC1",224,115,127,95,125,157,101,76,92,64,117
"UPF1",1275,695,547,613,650,1195,747,953,736,832,986
"COPE",1371,1019,906,858,1169,1755,1221,1671,911,1186,1279
"DDX49",427,360,340,237,290,379,195,367,170,328,254
"HOMER3",69,16,18,11,20,33,8,24,12,54,14
"SUGP2",1147,665,566,732,633,1104,605,906,547,767,758
"ARMC6",109,109,56,41,103,171,89,188,100,139,179
"TMEM161A",91,48,17,73,61,150,32,109,40,106,84
"BORCS8-MEF2B",82,56,43,66,41,94,26,18,7,60,61
"MEF2B",43,35,26,38,27,12,28,38,5,35,36
"BORCS8",112,60,75,60,42,134,30,38,14,89,71
"RFXANK",178,103,79,61,91,133,75,80,57,116,117
"NR2C2AP",73,67,51,28,67,36,11,30,25,18,23
"SUGP1",1031,451,637,393,612,1439,905,1062,664,960,946
"MAU2",368,232,144,174,305,394,181,408,245,252,284
"GATAD2A",1175,897,709,661,811,1335,859,1148,776,1022,921
"NDUFA13",808,558,480,535,604,615,541,555,286,470,551
"YJEFN3",1027,933,701,493,789,823,775,896,466,886,884
"PBX4",97,71,67,96,99,625,396,737,274,327,493
"LPAR2",105,62,64,80,122,139,123,105,60,73,76
"GMIP",1629,944,1003,1008,985,2491,1675,1997,1174,1547,1867
"ATP13A1",315,166,151,115,220,533,511,516,321,485,509
"ZNF101",104,52,64,46,89,188,86,166,78,89,133
"ZNF14",21,31,38,14,34,73,13,7,0,26,38
"ZNF506",138,52,149,85,87,156,196,203,79,87,140
"ZNF253",67,22,91,47,106,160,139,115,34,47,69
"ZNF93",28,25,49,11,21,4,50,30,29,21,3
"ZNF682",30,56,52,28,25,19,59,49,53,41,10
"ZNF90",5,21,8,23,15,18,12,3,17,5,0
"ZNF486",690,151,25,423,17,402,0,379,5,52,459
"ZNF737",50,76,67,53,83,86,50,94,59,45,30
"ZNF626",21,5,34,0,28,75,19,33,25,21,23
"ZNF66",39,0,20,8,17,39,117,0,53,1,24
"ZNF85",88,69,46,18,47,15,30,29,22,34,39
"ZNF430",493,241,207,296,212,373,188,235,197,234,217
"ZNF714",129,95,62,64,93,40,39,50,30,55,46
"ZNF431",341,166,81,108,180,134,78,72,88,117,110
"ZNF708",318,149,203,182,213,325,272,307,171,266,181
"ZNF738",189,131,105,69,109,71,89,112,56,118,92
"ZNF493",110,74,68,21,93,168,35,123,92,85,93
"ZNF429",824,272,386,604,1076,790,1283,1068,231,567,845
"ZNF100",268,210,129,150,200,132,111,147,84,148,118
"ZNF43",125,32,63,39,144,260,185,155,105,125,117
"ZNF257",7,3,9,19,0,1,1,20,0,4,9
"ZNF91",320,144,118,225,211,254,232,199,139,193,167
"ZNF675",295,185,361,293,377,423,327,489,139,189,239
"ZNF681",20,31,3,12,25,6,0,17,18,5,4
"ZNF254",132,142,124,85,69,191,152,263,155,169,186
"UQCRFS1",267,268,243,300,244,404,324,429,219,215,280
"POP4",1184,733,743,742,843,788,705,798,495,520,643
"PLEKHF1",110,64,73,121,150,8,14,17,4,0,6
"C19orf12",162,110,71,60,109,349,257,479,324,323,325
"CCNE1",56,47,13,32,21,12,0,12,5,25,12
"URI1",696,378,475,290,652,815,946,788,485,654,634
"DPY19L3",14,7,19,10,4,15,0,4,0,2,7
"PDCD5",433,305,354,505,429,1385,1363,1331,524,912,924
"ANKRD27",193,185,145,130,158,386,208,387,186,287,257
"NUDT19",20,31,1,1,43,36,0,0,9,2,13
"CEP89",233,102,77,104,163,596,363,590,301,439,501
"FAAP24",0,27,21,4,1,19,8,8,2,17,14
"GPATCH1",381,177,303,167,200,320,388,314,166,323,266
"CEBPA",178,281,122,88,261,39,13,6,31,7,14
"CEBPG",1180,797,596,712,693,889,516,878,503,798,604
"PEPD",297,194,138,114,139,238,104,142,158,186,130
"KCTD15",27,14,8,8,10,4,0,4,6,8,10
"LSM14A",2031,1216,1297,1155,1463,2130,1532,2161,1057,1685,1510
"GPI",744,400,493,350,479,275,273,298,169,259,207
"PDCD2L",383,176,2,374,52,169,205,0,76,138,4
"UBA2",4095,2296,2126,2505,2757,2911,2096,2732,1591,2182,1983
"SCGB2B2",0,0,12,2,12,0,0,0,0,0,8
"ZNF302",582,449,296,297,536,393,161,279,179,197,285
"ZNF181",443,170,161,306,230,123,51,123,69,87,48
"ZNF30",18,6,10,19,0,0,10,35,5,12,12
"ZNF792",0,6,8,0,0,44,10,0,10,19,8
"GRAMD1A",315,225,310,349,390,5064,3053,4251,1711,2507,2494
"SCN1B",27,5,32,0,23,597,77,684,215,330,328
"HPN",1,1,0,0,7,4,1,92,17,0,38
"FXYD5",713,335,302,492,339,383,222,454,173,345,307
"USF2",2119,1434,1302,1066,1233,453,190,449,177,309,459
"HAMP",37,11,19,9,36,2,0,0,0,0,0
"CD22",385,290,152,284,342,95,45,35,20,49,64
"SBSN",1,30,7,0,0,28,15,7,8,46,79
"TMEM147",42,16,10,37,47,40,22,11,8,19,14
"HAUS5",58,50,66,66,70,90,93,105,39,74,42
"RBM42",691,332,370,296,470,493,483,546,242,523,461
"COX6B1",235,238,128,158,150,134,98,133,79,167,106
"ZBTB32",65,11,21,10,32,9155,6471,8512,6131,4403,8610
"KMT2B",1267,919,581,666,763,5077,3949,5405,3766,4724,4370
"IGFLR1",811,633,275,211,391,87,47,95,108,140,157
"U2AF1L4",337,290,127,170,81,118,46,131,83,172,143
"PSENEN",207,90,56,112,102,112,177,187,176,134,116
"LIN37",215,71,62,103,129,165,98,164,58,141,147
"PROSER3",87,60,52,45,45,134,87,162,80,98,146
"NPHS1",0,3,3,0,0,4,13,0,1,10,1
"APLP1",8,1,0,0,7,1,0,7,0,8,8
"NFKBID",921,825,395,490,421,424,303,347,257,460,484
"HCST",25,5,6,20,9,13,10,3,10,5,4
"TYROBP",1467,1265,700,669,935,214,147,216,201,208,203
"SDHAF1",28,24,13,23,33,20,6,6,0,10,10
"ALKBH6",157,142,66,111,97,138,66,114,63,130,104
"THAP8",7,15,1,7,15,10,0,19,10,3,6
"POLR2I",65,52,51,18,49,49,88,57,51,46,79
"TBCB",326,380,276,153,280,752,520,560,345,634,677
"CAPNS1",415,192,181,176,276,461,289,288,188,398,267
"ZNF565",32,33,31,44,13,39,68,51,25,63,41
"ZNF146",2050,1511,1293,1369,1824,1777,1407,1938,1074,1337,1228
"ZFP14",107,109,52,57,105,40,65,73,23,89,65
"ZFP82",100,61,26,25,64,37,27,65,25,76,55
"ZNF566",15,15,7,2,8,6,19,0,16,0,26
"ZNF260",311,260,230,215,189,289,152,259,144,224,173
"ZNF529",63,105,59,102,61,82,97,103,85,76,44
"ZNF382",96,58,45,56,83,83,32,103,35,92,38
"ZNF461",22,30,18,20,49,35,54,38,14,25,45
"ZNF567",145,130,79,83,140,113,120,132,61,125,128
"ZNF790",82,33,60,32,54,44,25,76,12,43,50
"ZNF345",74,36,48,52,53,32,63,48,17,19,61
"ZNF829",99,76,36,20,37,41,25,42,45,60,64
"ZNF568",256,90,111,107,213,107,148,138,111,100,64
"ZNF420",38,90,31,6,79,7,10,44,38,12,18
"ZNF585A",82,176,88,81,114,34,43,47,11,33,79
"ZNF585B",242,187,113,188,139,139,135,196,116,139,145
"ZNF383",79,46,23,95,41,35,7,45,12,18,23
"ZNF527",61,31,73,10,42,23,50,9,8,27,27
"ZNF569",41,61,37,50,59,35,31,41,33,24,16
"ZNF570",126,110,82,144,91,88,127,97,40,79,108
"ZNF793",9,6,24,19,0,31,15,1,0,15,15
"ZNF571",38,27,11,13,4,0,0,38,27,4,1
"ZFP30",52,44,26,30,47,98,56,71,38,69,69
"ZNF781",0,0,10,10,14,0,0,0,4,0,0
"ZNF607",23,44,23,11,27,22,24,32,35,16,25
"ZNF573",27,11,27,41,58,4,24,18,0,11,0
"SIPA1L3",208,196,351,237,264,207,240,285,87,143,83
"SPINT2",495,358,207,198,174,74,56,100,77,147,113
"PPP1R14A",171,152,68,69,21,15,7,29,27,41,34
"YIF1B",70,25,22,45,66,3,6,18,0,12,8
"KCNK6",2127,1616,963,1150,1053,160,118,206,98,201,217
"CATSPERG",31,4,0,0,21,5,45,9,26,39,22
"PSMD8",4087,2242,1846,2096,2568,3187,2333,2778,1726,2476,2636
"FAM98C",13,22,18,15,7,10,6,21,15,6,6
"RASGRP4",7,0,11,4,6,45,32,99,5,40,40
"RYR1",52,48,55,90,57,28,37,26,15,12,15
"MAP4K1",8,5,7,9,11,10,0,20,6,0,7
"EIF3K",618,527,404,522,418,306,261,226,174,179,250
"ACTN4",8057,5012,3691,4464,4452,10424,8504,10322,6776,9078,9755
"CAPN12",18,5,6,0,3,11,28,13,18,42,14
"ECH1",850,447,423,273,431,485,257,305,271,374,328
"HNRNPL",2066,1416,1049,1148,1590,1867,1053,1622,871,1391,1367
"RINL",10,4,7,17,0,0,8,30,11,0,10
"SIRT2",97,87,96,39,51,86,59,114,64,98,75
"NFKBIB",733,382,310,355,499,876,583,677,440,615,677
"SARS2",7,42,0,17,34,28,44,42,37,45,35
"MRPS12",119,72,52,94,74,94,129,99,82,96,64
"PAK4",75,62,56,30,45,137,150,144,105,150,118
"NCCRP1",9,2,0,0,21,30,1,9,11,6,6
"IFNL3",0,0,0,0,0,89,73,0,69,16,4
"IFNL2",0,0,0,0,0,33,17,89,55,36,16
"IFNL1",5,0,0,0,0,961,616,874,1130,642,112
"GMFG",380,247,248,263,261,12,13,16,5,12,5
"SAMD4B",283,228,181,181,278,548,322,494,229,382,373
"PAF1",2906,1738,1633,1429,1722,4153,3016,3374,2304,3064,3260
"MED29",579,255,244,351,414,659,568,545,416,423,409
"ZFP36",406,368,220,230,263,1867,1539,1943,1002,2018,1984
"PLEKHG2",158,232,70,198,160,313,272,397,197,293,365
"RPS16",1952,1330,1160,925,1280,1172,775,859,632,839,896
"SUPT5H",5774,2913,3496,2730,3420,6155,4192,5274,3043,4280,4592
"TIMM50",106,65,73,80,39,55,71,42,32,46,50
"EID2B",28,8,4,14,0,0,0,0,2,5,0
"EID2",121,116,42,30,94,45,27,96,79,51,51
"DYRK1B",18,8,4,8,9,45,47,49,24,52,40
"FBL",293,257,156,199,208,207,193,169,140,222,133
"PSMC4",677,442,420,563,650,1110,866,787,534,605,602
"ZNF546",15,3,19,8,29,24,69,51,14,15,0
"ZNF780B",154,131,113,105,82,40,73,43,53,23,51
"ZNF780A",260,94,184,71,164,83,34,24,14,29,58
"MAP3K10",77,53,55,90,54,259,115,253,113,126,130
"AKT2",269,180,209,202,144,255,290,353,148,259,260
"C19orf47",103,36,41,35,50,55,64,37,17,82,47
"PLD3",554,227,271,169,246,128,99,93,67,100,138
"PRX",43,16,4,8,12,7,0,0,0,9,7
"SERTAD1",158,79,55,59,93,78,75,50,34,73,97
"SERTAD3",134,76,68,57,43,93,118,79,51,132,124
"BLVRB",151,124,59,61,174,12,6,27,14,14,6
"SPTBN4",43,12,51,14,27,4,0,2,0,0,0
"SHKBP1",793,405,387,481,544,660,506,627,345,431,546
"LTBP4",16,9,23,18,11,23,5,31,10,3,14
"NUMBL",138,52,32,61,61,68,51,71,46,84,59
"ITPKC",121,124,75,148,130,1095,743,1273,526,697,826
"C19orf54",396,189,152,219,330,261,294,334,183,267,200
"SNRPA",753,422,333,433,505,525,421,547,299,462,435
"MIA",0,0,0,0,0,56,0,134,7,96,4
"MIA-RAB4B",185,147,166,121,150,267,246,336,140,262,197
"RAB4B",349,268,275,211,285,437,325,507,222,386,309
"RAB4B-EGLN2",1051,620,713,568,766,1472,1313,1497,725,1204,1209
"EGLN2",1053,558,573,516,730,1488,1183,1379,723,1144,1261
"CYP2S1",625,397,175,350,194,37,55,82,42,77,112
"AXL",73,86,60,44,33,58,29,46,27,58,51
"HNRNPUL1",1925,1310,1186,1173,1249,1722,1258,1461,917,1261,1287
"TGFB1",1539,638,763,1009,808,303,222,332,190,167,243
"CCDC97",400,227,219,320,260,564,261,461,216,277,378
"TMEM91",93,70,48,116,55,17,0,37,3,1,29
"B9D2",22,11,5,23,4,4,0,26,0,13,14
"EXOSC5",247,315,261,2,97,0,31,62,5,56,14
"BCKDHA",227,114,146,167,163,99,66,102,36,50,75
"RPS19",1355,1213,649,941,1059,958,634,857,515,779,823
"CD79A",38,12,11,17,10,4,0,0,5,0,0
"ARHGEF1",586,456,369,460,338,411,178,347,139,283,292
"RABAC1",28,26,50,18,51,82,106,147,42,56,67
"ZNF574",43,97,99,49,30,67,107,94,90,52,60
"POU2F2",153,104,87,140,132,485,409,628,222,388,424
"DEDD2",92,32,37,69,36,77,112,120,84,96,57
"ZNF526",201,104,110,88,177,297,372,440,184,406,248
"GSK3A",349,130,213,193,134,403,184,223,102,228,266
"ERF",188,122,55,76,61,69,15,22,61,24,26
"CIC",1387,610,585,548,641,895,805,684,417,731,1118
"PAFAH1B3",5,24,5,0,28,7,12,3,6,4,13
"PRR19",1,13,0,0,24,5,7,2,3,1,6
"MEGF8",260,181,124,128,191,152,67,161,66,101,167
"PHLDB3",141,99,85,78,84,55,49,30,42,53,24
