,CD1C+_1,CD1C+_2,CD1C+_3,CD1C+_4,IL7R+CCR7+_1,IL7R+CCR7+_2,IL7R+CCR7+_3,IL7R+_CCR7+_4
TPT1P1,2,0,0,0,0,0,0,0
LINC00159,0,1,0,0,0,0,0,0
MIS18A-AS1,4,4,6,2,1,0,0,3
SNORA80A,0,0,1,0,0,0,0,0
URB1-AS1,11,14,14,12,4,6,4,19
EXOSC3P1,0,0,0,0,0,2,0,0
SNORA33,0,7,10,15,6,9,11,20
PAXBP1-AS1,156,175,232,175,149,134,93,402
C21orf62-AS1,19,2,9,6,0,4,3,14
USF1P1,2,0,0,0,0,0,0,20
RPS5P3,0,0,0,0,0,0,0,0
BTF3P6,0,2,4,0,0,0,0,0
LINC00649,57,94,93,51,65,41,31,156
RPS5P2,0,0,0,0,2,0,0,0
LINC00310,0,0,8,4,0,12,0,12
LINC01426,0,0,0,0,0,0,0,0
RPL34P3,0,0,0,0,0,0,0,0
PPP1R2P2,0,0,0,0,0,0,0,0
RPL23AP3,4,0,0,0,0,0,0,0
RIMKLBP1,5,0,1,3,2,6,3,0
MEMO1P1,0,7,30,35,20,3,3,13
CBR3-AS1,12,10,10,20,14,11,10,16
RPS9P1,0,1,3,0,0,0,1,5
RPL3P1,6,0,0,0,0,0,0,6
SRSF9P1,0,4,0,0,0,2,0,4
PSMD4P1,0,0,0,0,0,0,0,0
HLCS-IT1,20,2,6,15,0,9,3,8
TTC3-AS1,62,75,102,55,79,71,39,210
DSCR9,0,14,10,0,11,0,0,18
RN7SL678P,0,0,0,0,0,0,0,0
SPATA20P1,0,0,0,0,0,0,0,0
LINC01423,0,0,0,0,0,0,0,0
LINC00114,0,4,8,0,0,0,0,0
RPSAP64,0,0,0,0,0,0,0,0
RPL23AP12,0,7,4,0,0,2,0,0
PCBP2P1,0,0,0,24,0,0,0,2
TIMM9P2,0,0,0,1,0,0,0,0
BRWD1-IT1,0,0,0,0,0,0,0,0
METTL21AP1,0,2,2,0,0,2,0,6
BRWD1-AS2,0,2,2,0,2,2,3,0
BRWD1-AS1,0,0,0,0,0,0,1,1
RNF6P1,0,0,0,0,0,0,0,0
B3GALT5-AS1,0,2,0,0,0,0,0,4
LINC00323,0,0,0,0,0,0,0,0
PLAC4,0,0,2,0,10,4,0,11
BACE2-IT1,0,0,0,0,0,0,0,0
LINC00111,0,0,0,0,0,0,0,0
ZNF295-AS1,12,17,10,5,5,0,8,6
UMODL1-AS1,0,20,38,0,27,14,12,0
RNA5SP492,0,0,0,1,0,0,0,6
RNU6-1149P,0,0,0,0,0,0,0,0
ERVH48-1,1,7,7,2,0,4,4,27
FRGCA,4,0,0,0,0,0,0,0
LINC00322,3,0,0,0,0,0,0,1
LINC00319,0,0,0,0,0,0,0,0
LINC00313,2,0,0,1,0,0,0,0
TMEM97P1,0,0,0,0,0,0,0,1
AATBC,9,16,11,17,7,0,5,25
MYL6P1,0,0,0,8,0,0,0,0
RNU6-859P,0,0,0,0,0,0,2,0
RNU6-1150P,0,0,3,0,0,0,0,0
TRPM2-AS,0,0,1,5,0,4,2,1
MTCYBP21,0,3,0,0,6,1,2,12
MTND6P21,0,0,3,0,5,11,1,14
MTND5P1,13,3,5,3,7,7,5,18
TSPEAR-AS1,0,0,7,0,10,6,2,0
TSPEAR-AS2,0,0,0,0,1,6,0,0
LINC01424,0,0,0,0,4,1,0,14
ITGB2-AS1,1207,1191,1336,908,553,164,238,1282
LINC01547,140,160,128,88,34,8,25,154
LINC00163,2,0,0,0,0,0,0,0
SSR4P1,0,0,7,0,5,0,0,12
LINC00334,0,0,0,0,0,0,0,4
LINC00205,1,7,15,4,13,9,4,42
LINC00315,0,0,0,0,0,0,0,0
LINC00316,0,0,0,0,0,0,0,0
COL18A1-AS1,0,0,0,0,0,0,0,0
MIR6815,0,2,0,0,0,0,0,4
FTCD-AS1,0,0,0,0,0,0,0,0
MCM3AP-AS1,487,648,807,487,439,418,192,1023
RPL18AP2,0,0,9,0,0,0,0,2
DIP2A-IT1,0,2,4,0,0,0,0,10
RNU6-396P,0,0,0,0,0,0,4,0
DSTNP1,8,23,20,9,33,21,11,82
RPL23AP4,0,0,1,0,0,0,0,0
FRG1FP,0,0,0,0,0,0,0,0
FRG1GP,0,0,0,2,0,3,0,2
NF1P6,0,0,0,0,0,0,0,0
DUXAP8,6,3,5,1,0,3,1,6
BMS1P22,0,0,2,2,0,4,0,1
NBEAP3,0,0,0,0,0,0,0,0
KCNMB3P1,0,0,0,0,0,4,0,0
FABP5P11,0,0,0,0,0,0,0,0
TPTEP1,7,3,2,17,11,16,15,10
SLC25A15P5,0,0,0,0,0,0,0,0
ANKRD62P1-PARP4P3,0,0,0,0,0,0,0,0
VWFP1,0,0,2,0,0,0,1,0
CECR7,0,6,10,13,7,11,3,14
FAM32BP,0,0,0,0,0,0,0,0
CECR3,0,0,0,0,0,0,0,0
MIR3198-1,0,0,0,0,5,0,0,11
LINC00528,106,123,114,99,93,44,84,190
MIR648,4,0,5,3,3,1,2,1
ARL2BPP10,0,0,2,0,0,0,0,1
GGTLC5P,0,0,0,0,2,0,0,0
PPP1R26P3,0,0,0,0,0,0,0,0
PI4KAP1,58,95,96,111,71,44,36,113
GGT3P,0,0,0,0,1,0,0,0
DGCR5,0,0,0,0,0,0,0,0
CA15P1,0,3,1,0,0,0,0,6
DGCR11,0,9,8,0,11,0,0,39
TSSK1A,0,10,6,0,1,0,0,14
LINC01311,0,4,0,0,3,4,0,0
SNORA15,0,0,1,0,0,0,0,1
RN7SL168P,0,0,0,0,0,2,0,0
LINC00895,0,0,0,0,0,0,0,0
MIR6816,2,0,2,0,0,0,4,0
LINC00896,0,0,2,0,0,0,0,0
MIR1286,0,0,0,0,0,0,0,0
RN7SL812P,0,0,0,0,0,0,0,0
KRT18P5,0,0,7,4,0,3,0,8
CCDC74BP1,7,7,6,10,8,10,12,14
SMPD4P1,0,0,0,0,0,2,0,6
IGLL4P,0,0,0,0,0,0,0,0
ABHD17AP4,0,0,0,0,0,2,0,0
POM121L4P,0,0,0,0,0,0,0,0
TMEM191A,38,32,24,11,14,7,16,63
THAP7-AS1,0,24,16,3,22,6,0,73
TUBA3FP,0,2,7,0,0,5,0,19
P2RX6P,0,0,0,0,0,2,0,0
FAM230B,0,0,0,0,0,0,0,0
E2F6P3,0,0,2,0,0,0,0,2
PI4KAP2,111,206,157,78,77,58,75,358
MIR130B,46,30,36,39,11,19,18,54
RN7SL280P,0,0,0,0,0,0,0,6
RNA5SP493,0,1,1,0,1,0,0,0
PRAMENP,0,4,8,2,0,0,0,2
IGLVI-70,0,0,7,0,0,0,0,0
IGLV10-67,0,0,3,0,0,0,0,0
IGLVIV-66-1,0,0,0,0,0,0,0,0
ABHD17AP5,0,0,0,10,0,0,0,6
IGLVIV-59,0,0,0,0,0,0,0,0
TOP3BP1,4,4,3,0,0,4,3,5
IGLV1-41,0,0,2,0,0,0,0,0
IGLV2-34,0,0,0,0,0,0,0,0
BCRP4,0,0,0,0,0,0,0,7
POM121L1P,0,0,0,0,0,0,0,0
IGLV2-28,0,3,1,0,0,1,0,7
IGLV3-24,0,0,0,0,0,0,0,0
IGLV3-6,0,0,0,0,0,0,0,0
IGLV2-5,0,1,0,0,0,0,0,0
IGLC5,0,0,0,0,0,0,0,0
IGLC6,0,0,0,0,0,0,0,0
BCRP8,0,0,0,0,0,0,0,0
RN7SL263P,3,1,0,0,4,0,3,8
FBXW4P1,27,30,33,6,19,8,13,118
CES5AP1,0,0,1,0,0,0,0,0
GUSBP11,533,795,888,452,470,548,326,1631
ASLP1,10,19,14,12,9,6,4,22
RN7SL268P,0,0,2,0,0,0,0,0
MIF-AS1,443,515,368,352,400,248,398,910
GGTLC4P,0,0,0,0,0,0,0,0
POM121L9P,0,4,0,0,4,4,10,0
BCRP1,0,0,0,0,0,0,3,0
ADORA2A-AS1,66,17,49,53,189,239,259,215
BCRP3,5,0,0,0,2,5,7,19
IGLL3P,0,0,0,0,0,0,0,0
IGLVIVOR22-1,0,0,1,0,49,32,4,74
CRYBB2P1,65,181,168,214,334,227,148,417
MIR6817,9,10,8,21,17,15,5,20
YES1P1,63,40,78,34,92,93,56,287
RNA5SP494,12,4,13,7,18,18,14,19
HMGB1P10,76,72,49,54,32,30,37,132
MIAT,60,93,78,41,176,95,64,940
MIATNB,47,53,38,37,20,37,28,105
LINC01422,0,6,11,5,0,3,0,8
TTC28-AS1,40,66,66,79,59,79,45,136
MIR3199-1,0,0,1,0,0,2,0,6
MIR3199-2,0,0,1,0,0,2,0,6
MIR5739,0,0,0,0,0,0,0,0
ZNRF3-IT1,0,0,0,0,0,0,0,0
ZNRF3-AS1,0,0,0,0,0,0,0,0
RNU6-1219P,0,0,0,0,0,0,0,1
SNORD125,0,0,1,4,5,0,4,11
RFPL1S,0,4,16,24,0,2,2,2
RPEP4,0,0,0,0,0,0,0,0
RNU6-331P,0,0,2,0,1,0,0,2
HORMAD2-AS1,6,19,21,7,11,14,11,57
CNN2P1,0,0,0,12,6,0,0,10
SIRPAP1,2,0,0,2,4,0,0,10
MIR3200,0,0,0,0,0,0,0,0
EIF4HP2,7,3,4,0,3,2,1,7
MORC2-AS1,32,26,18,17,5,6,6,24
TUG1,604,980,1142,671,613,764,407,2129
MIR3928,0,0,1,0,0,0,10,0
RNF185-AS1,0,2,14,1,0,0,2,28
RNU6-1128P,2,2,0,0,0,0,0,0
RNA5SP496,0,0,0,0,2,0,0,0
LINC01521,0,3,13,14,7,0,0,4
RNU6-338P,0,0,0,0,0,0,0,0
RN7SL20P,0,0,0,0,0,0,0,0
CPSF1P1,0,2,0,0,0,8,8,0
IGLCOR22-2,0,0,0,0,0,0,0,0
IGLVIVOR22-2,0,0,2,0,0,0,1,5
LARGE-AS1,2,0,0,0,0,0,0,0
MIR3909,3,0,9,6,4,5,0,4
MIR6069,7,0,0,0,0,0,0,0
MIR6819,186,216,185,200,204,145,140,405
RPS15AP38,7,12,4,0,0,1,4,25
CSF2RBP1,0,0,0,0,0,0,0,0
LL22NC01-81G9.3,0,0,0,0,0,0,0,0
RN7SKP214,0,0,0,0,0,0,0,0
RN7SL385P,0,0,0,0,0,0,0,0
RNU6-900P,0,0,2,0,0,0,0,0
MIR6820,355,385,305,231,231,227,173,751
RN7SL704P,0,0,3,0,1,0,2,9
PRDX3P1,19,33,50,25,42,19,25,116
APOBEC3B-AS1,6,0,0,12,3,8,8,1
COX5BP7,0,0,0,0,0,0,0,9
FUNDC2P4,2,0,0,0,4,9,9,0
SNORD83B,17,13,16,3,12,4,12,52
SNORD83A,30,32,37,16,33,27,28,60
SNORD43,3,6,8,9,7,5,6,15
MGAT3-AS1,0,0,0,0,7,4,2,9
UQCRFS1P1,0,0,3,0,3,5,0,4
RPL7P52,0,0,2,0,0,0,0,3
COX6B1P3,0,0,0,1,6,0,2,0
RPL4P6,35,26,26,10,46,37,47,134
JTBP1,0,0,1,0,0,2,0,0
RNU6-375P,0,1,1,0,0,0,0,0
EP300-AS1,1,9,10,14,7,9,4,20
LRRC37A14P,0,0,0,0,0,0,0,0
MIR6889,0,0,0,0,3,0,0,0
RNU6-495P,0,1,0,0,0,0,0,0
RNU6-476P,0,3,0,0,0,0,0,2
MIR33A,7,0,1,7,3,11,0,6
LINC00634,0,0,0,0,0,6,0,0
SLC25A5P1,0,9,2,0,0,0,0,7
SNORD13P1,6,0,1,0,0,0,0,0
OLA1P1,3,11,3,0,0,0,6,13
CYP2D8P,8,4,13,9,4,2,0,11
OGFRP1,0,3,5,0,8,2,0,0
LINC01315,25,24,44,15,18,9,0,22
SERHL,40,86,59,44,36,37,28,162
RRP7BP,169,382,285,249,163,123,123,517
RN7SKP80,0,2,2,1,0,1,0,6
RNU6-513P,0,0,0,0,1,1,0,0
RNU12,14,23,18,13,9,0,12,35
RPL5P34,42,22,16,23,14,14,19,32
GOLGA2P4,12,0,0,0,0,0,0,0
EFCAB6-AS1,0,0,0,0,0,3,0,0
LINC00207,0,0,0,0,0,0,0,0
LINC00229,0,0,0,0,0,2,0,0
MIR1249,0,0,1,0,0,0,0,0
LINC01589,0,0,0,0,0,0,0,0
LINC00899,7,4,3,8,0,10,8,7
PRR34-AS1,25,17,20,18,14,22,10,45
MIRLET7BHG,25,20,19,21,24,25,14,77
RPL5P35,0,0,0,0,0,0,0,10
MIR6821,12,8,22,22,15,31,14,20
RNU6-409P,0,0,1,0,0,0,0,0
RPL23AP82,117,99,74,71,57,68,62,152
CHL1-AS2,0,0,0,0,0,0,0,0
CHL1-AS1,0,0,0,0,0,0,0,0
LINC01266,0,0,0,0,0,2,0,0
RN7SKP144,0,0,0,0,0,0,0,0
CNTN4-AS1,0,0,0,0,0,0,0,0
PNPT1P1,2,0,0,0,2,0,0,4
MRPS10P2,0,0,0,0,0,6,0,7
EGOT,5,3,6,4,15,20,18,7
BHLHE40-AS1,602,693,695,650,502,671,577,1282
GRM7-AS1,0,0,2,0,0,0,0,0
LMCD1-AS1,0,2,0,0,0,0,0,0
OR7E122P,0,0,0,0,0,0,0,0
SRGAP3-AS1,0,1,0,0,0,0,8,2
SRGAP3-AS2,0,0,2,2,0,0,0,0
THUMPD3-AS1,95,109,131,89,122,179,110,387
DUSP5P2,0,0,0,0,0,2,0,0
RNU6-882P,0,0,2,0,0,0,0,0
PRRT3-AS1,2,3,0,0,0,2,0,10
EMC3-AS1,17,69,37,47,41,41,32,97
CYCSP10,0,1,0,4,0,2,0,0
CYCSP11,0,0,0,0,0,0,0,0
LINC00852,19,13,21,9,4,18,12,61
GHRLOS,82,190,151,60,89,62,26,227
CHCHD4P4,0,0,0,0,0,0,0,0
RN7SL147P,0,0,0,0,0,0,0,0
ACTG1P12,0,0,0,0,0,0,0,0
GSTM5P1,0,0,0,0,0,0,0,0
RNA5SP123,0,1,0,0,0,0,0,0
RNU6-377P,0,1,0,0,0,0,0,7
KRT18P17,0,0,0,0,0,0,0,0
SNORA7A,46,59,53,39,57,43,43,114
HDAC11-AS1,8,0,0,2,0,0,0,0
LINC00620,0,0,0,0,0,0,0,0
VN1R20P,0,0,0,0,0,0,0,0
FGD5P1,0,0,3,7,8,3,1,2
TPRXL,0,0,7,0,0,0,11,0
RNA5SP124,0,0,0,0,0,0,0,0
FGD5-AS1,417,567,580,382,566,549,280,1606
COL6A4P1,0,0,0,0,1,0,0,2
SH3BP5-AS1,2801,4915,3913,1791,1163,604,668,4049
HMGN2P7,0,2,0,0,0,0,0,0
RNU6-1024P,0,0,0,1,0,0,0,0
EAF1-AS1,318,394,374,212,130,155,146,548
MIR3134,0,0,0,0,0,0,0,0
RN7SL4P,11,0,0,0,11,0,20,29
MIR563,0,0,0,0,0,0,0,0
PLCL2-AS1,32,50,79,29,32,19,11,123
RNU7-10P,0,0,0,0,0,0,0,0
SATB1-AS1,18,18,25,9,6,21,9,57
RAD23BP1,0,2,0,0,0,0,0,0
HSPA8P18,0,0,0,0,0,0,0,2
RNU4-85P,0,0,0,0,0,0,0,4
SGO1-AS1,18,63,36,25,58,48,38,178
RNU6-822P,0,0,0,0,0,0,0,0
HMGB1P5,2659,3814,2801,2382,1654,1488,1433,5284
SALL4P5,0,0,0,0,2,0,0,10
RPL24P7,2,0,0,0,0,0,0,0
UBE2E2-AS1,3,1,1,0,3,10,9,34
UBE2E1-AS1,0,0,1,0,12,11,13,43
LINC00691,0,0,0,0,2,0,0,0
THRB-IT1,0,0,0,0,0,0,0,0
THRB-AS1,0,10,11,0,2,0,1,15
TAF9BP1,0,3,0,6,1,0,0,3
LINC00692,0,0,0,0,0,1,0,0
HMGB3P12,0,0,0,0,0,0,0,4
RPS20P15,0,0,2,0,0,0,0,0
RBMS3-AS3,0,0,0,0,0,0,0,0
RBMS3-AS2,0,0,0,0,0,0,0,0
RNA5SP127,0,0,2,0,0,0,0,0
THRAP3P1,2,0,0,0,0,0,2,0
OSBPL10-AS1,0,0,2,0,0,0,0,1
RPSAP11,2,0,0,0,0,0,0,0
KRT18P15,13,10,0,0,0,11,0,51
RPL30P4,2,0,0,0,0,0,2,0
CNOT10-AS1,4,12,10,3,19,5,11,33
SUGT1P2,0,16,18,27,22,5,13,41
RPL23AP43,0,2,0,0,0,0,2,0
SEC13P1,0,6,1,0,6,4,1,15
SUMO2P10,7,6,6,0,6,0,2,29
RNU7-110P,2,0,0,0,0,0,0,0
ARPP21-AS1,0,0,0,0,0,0,0,0
NBPF21P,0,0,0,0,0,0,0,0
HSPD1P6,21,20,3,1,4,2,3,22
RNU6ATAC4P,0,0,0,0,0,0,0,0
PRADC1P1,7,8,2,2,0,0,9,13
RPL29P11,0,3,1,4,0,0,4,0
UBE2D3P2,0,0,0,0,0,2,0,0
RNU6-1301P,0,0,2,0,6,0,1,8
UBE2FP1,32,17,10,30,40,46,49,52
TCEA1P2,62,54,47,37,34,24,33,137
C3orf35,0,27,30,29,31,9,3,54
ITGA9-AS1,0,1,4,8,21,19,2,6
RPL21P135,0,0,0,0,0,0,0,0
ACVR2B-AS1,0,0,0,0,0,2,2,0
DDTP1,0,0,0,0,0,0,0,0
RPL18AP7,0,8,18,14,10,10,8,22
HNRNPA1P21,2,0,0,0,2,0,0,36
EEF1A1P24,8,0,0,0,0,0,12,0
SNORA6,5,22,15,9,9,6,4,43
EIF1B-AS1,7,12,20,13,24,12,8,28
ENTPD3-AS1,9,9,7,7,7,1,0,18
RNU5B-2P,0,1,0,0,0,0,0,0
HMGN2P24,0,0,0,0,0,0,0,0
RPL36P20,0,0,0,0,0,0,0,0
TPMTP2,0,0,1,0,0,0,0,0
RNU4-78P,0,0,0,2,0,0,2,0
EIF4BP4,0,0,0,0,0,0,0,0
VIPR1-AS1,18,27,34,13,14,4,1,23
HHATL-AS1,4,0,0,0,0,0,0,0
CCDC13-AS1,6,5,0,0,0,1,0,3
HNRNPA1P22,2,12,0,0,2,0,0,2
KRBOX1-AS1,0,1,0,0,0,2,2,0
RN7SL517P,3,0,1,3,0,0,0,0
SNRK-AS1,34,31,24,15,5,6,4,57
MIR138-1,0,0,2,1,11,5,3,23
MPRIPP1,4,0,6,3,6,5,0,3
ZNF197-AS1,0,0,0,0,0,0,0,2
RNU5B-3P,0,0,0,0,0,0,0,0
RPS24P8,4,7,5,0,0,0,0,4
LARS2-AS1,0,0,0,0,0,0,0,0
LIMD1-AS1,49,39,46,38,30,32,11,87
RN7SL145P,0,4,15,8,0,0,1,0
NRBF2P2,2,0,0,0,0,0,0,0
LRRC2-AS1,0,0,0,0,0,0,2,0
NRADDP,0,7,0,5,11,0,0,10
MRPL57P3,0,0,0,0,0,0,0,0
KIF9-AS1,6,14,12,0,8,3,0,30
SNORD13P3,0,0,0,0,0,0,0,0
BOLA2P2,0,0,0,0,0,0,0,2
MIR1226,0,1,1,0,0,1,2,9
VPS26BP1,0,0,0,0,0,0,2,0
SNRPFP4,0,1,0,0,0,1,0,0
NDUFB1P1,2,0,0,0,0,0,0,0
MRPS18AP1,21,20,23,16,7,13,4,35
FCF1P2,21,9,16,4,0,4,4,22
MIR6823,0,0,0,0,0,0,0,0
PRKAR2A-AS1,63,38,52,26,34,35,23,149
MIR425,0,2,0,0,0,0,1,0
MIR191,3,0,1,0,1,0,0,10
RN7SL182P,0,2,1,0,0,0,0,0
MIR4271,12,26,16,16,3,9,7,14
RHOA-IT1,38,40,62,23,22,28,10,86
COX6CP14,0,0,0,0,0,0,0,0
RN7SL217P,0,0,0,0,0,0,0,0
RBM5-AS1,256,366,466,307,360,394,166,1013
SEMA3F-AS1,977,1386,1356,989,1018,1091,632,2616
SEMA3B-AS1,1,0,0,0,0,0,0,0
RASSF1-AS1,107,117,148,44,79,62,39,222
ZMYND10-AS1,13,12,8,5,0,0,0,7
MIR4787,0,4,5,0,0,2,2,18
MIRLET7G,0,0,2,0,0,0,0,1
GLYCTK-AS1,0,22,17,13,32,7,5,32
MIR135A1,0,0,1,0,0,0,0,0
RNU6-856P,0,0,0,0,0,0,0,0
RNU6ATAC16P,0,0,2,0,0,0,0,3
SNORD19B,28,62,49,41,32,40,30,121
SNORD19,16,21,38,19,14,22,11,57
SNORD69,0,1,4,5,4,1,0,5
ITIH4-AS1,0,13,19,10,5,4,3,14
MIR8064,0,0,0,0,0,0,0,0
SERBP1P3,0,7,0,4,0,0,2,0
RPS15P5,4,0,0,0,0,0,3,2
ESRG,0,0,2,0,0,0,0,0
CACNA2D3-AS1,0,0,0,0,0,0,0,0
WNT5A-AS1,20,26,26,0,53,19,15,128
ERC2-IT1,0,0,0,0,0,0,0,0
ARHGEF3-AS1,0,0,0,0,0,0,4,0
ARF4-AS1,15,27,21,1,2,12,3,26
DENND6A-AS1,91,97,120,51,78,78,40,184
PDHA1P1,0,1,2,0,0,0,0,0
PPIAP16,0,0,0,0,0,0,0,2
FLNB-AS1,3,1,8,0,25,37,12,108
FAM3D-AS1,0,0,0,0,0,0,1,0
RPL10AP6,5,7,5,2,0,0,3,8
PTPRG-AS1,3,3,4,0,10,4,0,18
THOC7-AS1,0,4,4,0,5,0,0,12
SCAANT1,19,14,4,7,4,3,8,18
PSMD6-AS2,112,138,196,202,156,231,157,381
PRICKLE2-AS1,2,2,0,0,0,0,0,0
PRICKLE2-AS3,0,1,0,0,0,0,0,0
ADAMTS9-AS1,0,1,3,12,6,12,1,5
ADAMTS9-AS2,0,0,5,0,4,0,2,0
MAGI1-IT1,0,0,8,0,0,2,0,0
MAGI1-AS1,0,0,0,0,0,0,0,0
RNU6-787P,0,0,0,0,0,1,0,0
RN7SL482P,4,0,2,0,0,0,0,0
MIR4272,0,0,3,0,0,0,0,0
NDUFB4P1,0,1,0,0,0,0,0,0
SUCLG2-AS1,0,0,2,0,0,0,0,4
PSMC1P1,85,53,30,31,63,57,131,242
MIR3136,0,0,0,1,0,1,0,0
RN7SL418P,6,0,0,0,0,0,2,0
SAMMSON,0,0,0,0,5,0,5,0
UQCRHP4,0,0,0,0,0,0,0,0
FOXP1-AS1,0,8,5,2,1,2,3,11
FOXP1-IT1,0,0,0,7,12,10,0,9
UBE2Q2P9,0,0,0,0,0,0,4,16
LINC00877,543,865,589,416,427,235,318,1879
LINC00870,0,0,0,0,0,1,0,0
FTH1P23,22,9,19,7,13,11,15,47
RNU6-557P,0,0,0,0,0,0,0,0
MIR4444-2,11,22,12,10,14,10,23,41
HNRNPA3P6,195,359,127,203,183,90,265,462
OR7E55P,0,0,0,0,0,0,0,0
ALG1L6P,0,10,6,7,1,2,1,9
FAM86DP,12,17,14,19,14,9,3,34
ENPP7P2,0,0,0,0,0,0,0,0
RPL23AP49,0,0,0,0,2,1,1,0
CLUHP10,0,0,0,0,0,0,1,0
AGGF1P3,0,0,0,0,0,0,0,0
RARRES2P1,0,0,0,0,0,0,0,0
DUX4L26,0,0,0,0,21,2,7,0
LINC00960,2,0,2,0,6,5,1,0
MIR4273,0,0,3,0,0,1,0,0
RN7SL751P,18,0,6,56,56,56,38,0
RNU2-28P,1,2,0,0,0,0,0,3
CYP51A1P1,4,0,0,2,2,0,0,0
LINC00971,0,0,0,4,0,0,0,0
CADM2-AS1,8,0,0,0,0,0,0,0
THAP12P2,0,0,0,0,0,0,2,0
PPATP1,0,0,0,0,0,0,0,0
LINC00506,0,0,0,0,0,0,0,10
CBX5P1,0,0,3,0,0,0,0,2
ABCF2P1,0,0,0,0,0,0,0,0
HMGN1P7,0,1,3,0,0,0,0,3
RBBP4P2,10,0,0,0,0,0,16,1
WDR82P1,0,0,0,0,0,0,0,0
RPS18P6,2,0,0,2,0,0,0,0
MTHFD2P1,0,0,0,0,4,4,0,0
HNRNPKP4,14,18,21,14,8,3,5,9
CDV3P1,0,0,0,0,0,0,0,0
UBFD1P1,16,0,0,0,0,0,0,0
RPL38P4,0,0,0,2,0,0,0,0
WWP1P1,0,0,2,0,0,0,0,4
ST3GAL6-AS1,4,0,6,0,38,60,33,100
PDLIM1P4,31,6,27,32,132,170,79,98
RNU6-26P,0,0,1,0,0,0,0,0
LINC00973,0,0,0,0,0,0,0,0
VTI1BP1,0,0,0,0,0,0,0,8
GMFBP1,0,0,0,0,0,0,0,0
RNY1P12,15,5,15,5,1,5,2,22
ZBTB11-AS1,98,155,124,134,68,55,53,168
PDCL3P4,8,18,14,2,15,14,3,43
LINC00882,0,0,0,0,0,0,0,0
DUBR,4,0,3,0,0,7,0,10
LINC01215,115,189,175,124,230,174,160,858
HNRNPA1P17,0,0,0,6,0,0,0,0
LINC00488,0,0,0,0,0,1,0,0
PPIAP15,0,0,0,0,0,0,0,0
RNU6ATAC15P,0,0,0,0,0,0,0,0
RPSAP29,0,10,0,0,0,0,0,0
ATP6V0CP2,0,0,0,0,0,0,0,0
PLCXD2-AS1,0,0,0,0,0,2,0,0
OR7E100P,0,2,0,0,0,0,6,11
CFAP44-AS1,16,17,15,5,4,4,2,31
SIDT1-AS1,0,0,0,1,0,0,0,27
MIR4446,0,0,0,0,0,0,0,2
RN7SL767P,0,3,0,1,4,0,0,0
VPS26AP1,0,0,0,4,0,0,0,0
MIR568,126,113,176,131,115,161,56,342
ZBTB20-AS1,0,0,0,2,1,2,3,4
ZBTB20-AS2,1,0,0,0,0,0,0,1
ZBTB20-AS3,0,1,1,0,0,0,0,2
ZBTB20-AS4,0,0,0,0,0,0,0,0
BZW1P2,26,31,8,33,23,32,54,58
LINC00901,0,1,0,0,0,0,0,0
PTMAP8,6,4,0,4,1,3,3,0
B4GALT4-AS1,47,50,46,23,25,29,18,82
RPS26P21,4,0,2,7,0,1,5,8
ARHGAP31-AS1,52,60,31,46,34,29,36,64
PHBP8,0,0,0,0,2,0,0,0
RN7SL397P,0,0,0,0,0,0,0,0
MTCO1P29,0,0,0,2,0,0,0,0
MTCO2P29,0,0,0,0,0,0,0,0
NAP1L1P3,13,9,7,0,7,12,7,61
RPL7AP11,6,3,0,0,1,3,5,11
RN7SL172P,0,2,5,4,0,5,0,8
RNU4-62P,0,0,2,0,0,2,0,0
EIF4BP8,0,0,0,0,0,0,0,0
MYLK-AS1,4,15,10,14,15,1,1,12
MYLK-AS2,8,0,2,0,0,0,0,0
RPL7P15,0,0,0,0,0,0,0,0
ITGB5-AS1,0,0,0,0,0,0,0,0
DUTP1,20,0,0,0,0,0,0,4
RNU6-232P,0,0,0,0,0,0,0,0
OR7E29P,0,2,0,0,0,0,0,0
RPS3AP14,2,0,0,0,0,0,0,0
ENPP7P4,0,0,0,0,0,0,0,0
FAM86JP,0,0,4,2,0,0,0,0
ALDH1L1-AS2,0,0,0,0,0,0,0,0
LINC01471,0,0,0,0,0,0,0,0
MIR6825,15,16,20,13,41,15,25,39
MIR7976,0,0,0,0,2,0,0,0
RUVBL1-AS1,0,0,1,16,0,0,0,1
GATA2-AS1,0,0,1,0,0,2,0,0
TMED10P2,0,0,4,0,0,0,0,0
LINC01565,0,2,0,0,0,0,0,8
POU5F1P6,0,2,0,4,0,0,4,10
MARK2P8,9,15,9,7,6,8,16,32
FTH1P4,2,6,6,0,2,0,0,5
RN7SL698P,0,0,0,0,5,5,0,8
RPS15AP16,8,8,12,2,6,7,5,5
MARK2P17,0,0,0,0,0,0,0,0
MARK3P3,0,0,0,0,0,0,0,4
MARK2P6,5,0,3,0,2,0,0,22
MIR6826,2,2,0,0,0,4,0,0
NUP210P3,12,0,0,0,6,2,0,5
RPL32P3,115,136,127,120,131,124,57,263
SNORA7B,0,0,0,0,0,3,1,4
RN7SL752P,8,0,15,0,11,1,0,33
OR7E21P,0,0,2,2,0,0,0,0
FAM86HP,0,12,9,0,10,4,3,23
SNRPCP8,0,0,0,0,0,0,0,0
COL6A4P2,31,83,74,60,16,0,6,49
RPL7P16,4,0,0,0,0,0,0,0
HSPA8P19,0,0,0,0,0,0,0,0
NPHP3-AS1,83,79,79,60,100,65,54,267
