,CD1C+_1,CD1C+_2,CD1C+_3,CD1C+_4,IL7R+CCR7+_1,IL7R+CCR7+_2,IL7R+CCR7+_3,IL7R+_CCR7+_4
MCEMP1,34,0,5,32,21,0,65,19
TRAPPC5,281,292,162,290,203,108,189,203
FCER2,25,0,12,25,45,0,72,92
CLEC4G,22,17,1,0,23,0,38,119
CD209,15,5,19,5,10,14,0,11
CLEC4M,0,0,0,3,3,0,2,1
EVI5L,318,433,434,283,345,201,167,712
PRR36,4,1,0,4,0,0,4,4
LRRC8E,0,0,4,3,0,0,0,2
MAP2K7,539,891,853,670,531,464,325,1362
TGFBR3L,2,5,0,0,0,2,0,9
SNAPC2,143,126,115,148,69,62,46,108
CTXN1,0,0,0,0,0,0,0,2
TIMM44,377,637,463,392,206,226,224,878
ELAVL1,226,389,326,184,328,205,175,950
CCL25,0,0,0,0,0,0,0,0
FBN3,0,1,0,2,0,2,0,0
CERS4,42,64,44,69,253,156,226,251
CD320,4,11,7,8,35,20,10,13
NDUFA7,41,73,31,53,36,21,15,66
RPS28,567,635,374,595,461,310,332,744
KANK3,6,1,7,0,35,36,4,127
ANGPTL4,9,14,14,0,17,16,6,101
RAB11B,557,807,696,586,786,663,527,1862
HNRNPM,13838,17646,13428,12395,16870,14907,13810,44231
PRAM1,433,483,387,160,29,28,40,157
ZNF414,31,56,42,50,47,7,30,64
MYO1F,4591,5208,5878,3491,1644,1286,895,5015
ADAMTS10,275,206,435,132,116,71,48,168
ACTL9,0,0,0,4,0,0,0,0
OR2Z1,0,0,0,0,0,0,0,0
ZNF558,270,188,293,182,121,140,61,326
MBD3L1,0,0,0,0,0,0,0,0
MUC16,3,0,0,12,2,0,0,14
ZNF317,550,668,735,458,517,603,328,1790
ZNF699,46,47,67,13,60,93,24,330
ZNF559,92,50,63,50,38,24,27,104
ZNF559-ZNF177,88,40,62,53,49,22,27,86
ZNF177,15,5,12,16,14,9,3,6
ZNF266,344,437,492,380,263,407,206,874
ZNF560,0,0,0,0,0,0,0,0
ZNF426,82,135,149,80,98,106,67,294
ZNF121,339,371,461,290,117,230,132,604
ZNF561,141,139,161,112,84,127,76,285
ZNF562,276,329,499,303,253,227,150,643
ZNF812P,0,4,8,0,0,3,1,0
ZNF846,246,403,530,282,303,232,87,711
FBXL12,94,156,129,127,61,95,52,240
UBL5,277,323,167,285,243,228,261,496
PIN1,891,1100,758,840,913,819,667,2192
OLFM2,4,3,3,0,15,18,12,70
COL5A3,5,0,3,0,53,130,64,427
RDH8,0,0,0,1,0,0,0,0
ANGPTL6,121,137,168,163,237,133,129,308
PPAN-P2RY11,453,749,680,426,362,318,256,1286
PPAN,449,736,722,430,376,331,213,1328
P2RY11,159,246,211,142,94,104,119,469
